stress_axis,stress_level,method,action_success,ci95_success,damage,probe_cost,false_safe_confidence,rows
vision,1.25,budgeted_information_gain,0.66667,0.05307,0.27500,0.35700,0.02500,240
vision,1.25,calibrated_debt_threshold,0.67500,0.07485,0.14167,0.23175,0.02500,240
vision,1.25,grounding_debt_planner_v5,0.78750,0.04628,0.07917,0.34754,0.02500,240
vision,1.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
vision,1.50,vision_language_policy,0.36250,0.08171,0.32917,0.00000,0.00417,240
vision,1.50,greedy_active_touch,0.47083,0.10116,0.31250,0.25817,0.02083,240
vision,1.50,strong_tactile_then_policy,0.71667,0.04522,0.21667,0.79000,0.00417,240
vision,1.50,risk_aware_touch_policy,0.58750,0.06020,0.17083,0.23571,0.02083,240
vision,1.50,budgeted_information_gain,0.55000,0.06646,0.38750,0.35821,0.02917,240
vision,1.50,calibrated_debt_threshold,0.64167,0.05605,0.16667,0.23563,0.02083,240
vision,1.50,grounding_debt_planner_v5,0.76250,0.05172,0.12500,0.35050,0.01667,240
vision,1.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
tactile,0.00,vision_language_policy,0.66250,0.06261,0.21250,0.00000,0.05833,240
tactile,0.00,greedy_active_touch,0.67083,0.06020,0.27917,0.26579,0.07500,240
tactile,0.00,strong_tactile_then_policy,0.58750,0.05369,0.40417,0.79000,0.00833,240
tactile,0.00,risk_aware_touch_policy,0.83750,0.05638,0.06250,0.23733,0.08750,240
tactile,0.00,budgeted_information_gain,0.65833,0.05813,0.31667,0.35667,0.18333,240
tactile,0.00,calibrated_debt_threshold,0.85000,0.05194,0.05417,0.21513,0.07917,240
tactile,0.00,grounding_debt_planner_v5,0.85417,0.04596,0.05417,0.34308,0.07500,240
tactile,0.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
tactile,0.25,vision_language_policy,0.70833,0.05444,0.16250,0.00000,0.05417,240
tactile,0.25,greedy_active_touch,0.72500,0.04746,0.22917,0.26367,0.07917,240
tactile,0.25,strong_tactile_then_policy,0.60417,0.05341,0.36667,0.79000,0.00417,240
tactile,0.25,risk_aware_touch_policy,0.81667,0.04423,0.06667,0.23233,0.05417,240
tactile,0.25,budgeted_information_gain,0.65000,0.05989,0.32500,0.35671,0.11250,240
tactile,0.25,calibrated_debt_threshold,0.81667,0.03888,0.07083,0.21488,0.05417,240
tactile,0.25,grounding_debt_planner_v5,0.83333,0.04555,0.05000,0.34371,0.03750,240
tactile,0.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
tactile,0.50,vision_language_policy,0.69167,0.03693,0.18333,0.00000,0.07083,240
tactile,0.50,greedy_active_touch,0.69167,0.05472,0.25833,0.26350,0.05833,240
tactile,0.50,strong_tactile_then_policy,0.55000,0.04522,0.36250,0.79000,0.00833,240
tactile,0.50,risk_aware_touch_policy,0.73750,0.05314,0.10833,0.23458,0.04167,240
tactile,0.50,budgeted_information_gain,0.56250,0.03703,0.34167,0.35717,0.07917,240
tactile,0.50,calibrated_debt_threshold,0.75000,0.04038,0.11667,0.21604,0.03333,240
tactile,0.50,grounding_debt_planner_v5,0.71250,0.03539,0.10833,0.34200,0.03333,240
tactile,0.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
tactile,0.75,vision_language_policy,0.67917,0.04723,0.18750,0.00000,0.05833,240
tactile,0.75,greedy_active_touch,0.61250,0.03859,0.28333,0.26013,0.05417,240
tactile,0.75,strong_tactile_then_policy,0.47917,0.06584,0.40417,0.79000,0.00833,240
tactile,0.75,risk_aware_touch_policy,0.69167,0.03888,0.14583,0.23096,0.03333,240
tactile,0.75,budgeted_information_gain,0.51250,0.04226,0.37500,0.35700,0.05000,240
tactile,0.75,calibrated_debt_threshold,0.69583,0.04047,0.14583,0.21696,0.05417,240
tactile,0.75,grounding_debt_planner_v5,0.65833,0.02667,0.17083,0.34171,0.02500,240
tactile,0.75,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
tactile,1.00,vision_language_policy,0.70417,0.07932,0.18333,0.00000,0.04167,240
tactile,1.00,greedy_active_touch,0.61667,0.05417,0.29583,0.26242,0.08333,240
tactile,1.00,strong_tactile_then_policy,0.37500,0.05964,0.48333,0.79000,0.01667,240
tactile,1.00,risk_aware_touch_policy,0.65417,0.07207,0.14167,0.23396,0.06250,240
tactile,1.00,budgeted_information_gain,0.40000,0.03888,0.47083,0.35642,0.09167,240
tactile,1.00,calibrated_debt_threshold,0.63333,0.07965,0.14583,0.21475,0.07083,240
tactile,1.00,grounding_debt_planner_v5,0.54583,0.05505,0.20000,0.33958,0.05417,240
tactile,1.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
tactile,1.25,vision_language_policy,0.66250,0.07549,0.18333,0.00000,0.07083,240
tactile,1.25,greedy_active_touch,0.51250,0.07207,0.30417,0.26133,0.14167,240
tactile,1.25,strong_tactile_then_policy,0.28333,0.05136,0.48333,0.79000,0.00417,240
tactile,1.25,risk_aware_touch_policy,0.54167,0.06887,0.19167,0.23371,0.14583,240
tactile,1.25,budgeted_information_gain,0.33333,0.07405,0.44167,0.35617,0.11250,240
tactile,1.25,calibrated_debt_threshold,0.54583,0.08117,0.20000,0.21604,0.14167,240
tactile,1.25,grounding_debt_planner_v5,0.41250,0.06494,0.25833,0.34350,0.10417,240
tactile,1.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
tactile,1.50,vision_language_policy,0.71667,0.07583,0.18333,0.00000,0.08333,240
tactile,1.50,greedy_active_touch,0.50000,0.06326,0.35417,0.26729,0.14167,240
tactile,1.50,strong_tactile_then_policy,0.26667,0.07524,0.44583,0.79000,0.00833,240
tactile,1.50,risk_aware_touch_policy,0.52917,0.06562,0.19583,0.23542,0.16250,240
tactile,1.50,budgeted_information_gain,0.31667,0.05194,0.44167,0.35604,0.16667,240
tactile,1.50,calibrated_debt_threshold,0.52917,0.06214,0.19583,0.21475,0.17500,240
tactile,1.50,grounding_debt_planner_v5,0.40417,0.08351,0.24167,0.34000,0.14583,240
tactile,1.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
material,0.00,vision_language_policy,0.66250,0.07041,0.18750,0.00000,0.05000,240
material,0.00,greedy_active_touch,0.61667,0.06419,0.27917,0.26263,0.10000,240
material,0.00,strong_tactile_then_policy,0.51667,0.04588,0.43333,0.79000,0.00833,240
material,0.00,risk_aware_touch_policy,0.74167,0.04990,0.10000,0.22171,0.04583,240
material,0.00,budgeted_information_gain,0.57083,0.02994,0.37083,0.35604,0.10833,240
material,0.00,calibrated_debt_threshold,0.76250,0.04723,0.10833,0.20704,0.05000,240
material,0.00,grounding_debt_planner_v5,0.75833,0.04839,0.11250,0.31500,0.03333,240
material,0.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
material,0.25,vision_language_policy,0.65000,0.05736,0.19583,0.00000,0.05000,240
material,0.25,greedy_active_touch,0.62083,0.03742,0.27500,0.26354,0.05833,240
material,0.25,strong_tactile_then_policy,0.51667,0.05989,0.42083,0.79000,0.00000,240
material,0.25,risk_aware_touch_policy,0.75833,0.05417,0.09583,0.22554,0.04167,240
material,0.25,budgeted_information_gain,0.55417,0.05172,0.37917,0.35629,0.06667,240
material,0.25,calibrated_debt_threshold,0.75833,0.04182,0.11250,0.21508,0.03750,240
material,0.25,grounding_debt_planner_v5,0.77083,0.03703,0.08750,0.32725,0.02500,240
material,0.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
material,0.50,vision_language_policy,0.63333,0.06646,0.22083,0.00000,0.01250,240
material,0.50,greedy_active_touch,0.62083,0.07549,0.30000,0.26050,0.04167,240
material,0.50,strong_tactile_then_policy,0.51667,0.04746,0.40833,0.79000,0.00417,240
material,0.50,risk_aware_touch_policy,0.70833,0.06087,0.11667,0.22900,0.04167,240
material,0.50,budgeted_information_gain,0.52917,0.05845,0.38750,0.35700,0.06250,240
material,0.50,calibrated_debt_threshold,0.70417,0.05086,0.13333,0.21812,0.04167,240
material,0.50,grounding_debt_planner_v5,0.68750,0.04083,0.13750,0.33325,0.02917,240
material,0.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
material,0.75,vision_language_policy,0.54167,0.04715,0.28750,0.00000,0.07917,240
material,0.75,greedy_active_touch,0.56250,0.05612,0.31250,0.26600,0.04167,240
material,0.75,strong_tactile_then_policy,0.47083,0.03859,0.45000,0.79000,0.00000,240
material,0.75,risk_aware_touch_policy,0.69167,0.05049,0.15000,0.22250,0.05417,240
material,0.75,budgeted_information_gain,0.47083,0.05717,0.45000,0.35692,0.03333,240
material,0.75,calibrated_debt_threshold,0.67500,0.04990,0.16667,0.21725,0.05417,240
material,0.75,grounding_debt_planner_v5,0.65833,0.02373,0.19583,0.32221,0.03333,240
material,0.75,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
material,1.00,vision_language_policy,0.58333,0.06442,0.22500,0.00000,0.03750,240
material,1.00,greedy_active_touch,0.54583,0.08025,0.30000,0.26367,0.03333,240
material,1.00,strong_tactile_then_policy,0.45833,0.07603,0.39583,0.79000,0.00000,240
material,1.00,risk_aware_touch_policy,0.60417,0.09834,0.14167,0.22467,0.00833,240
material,1.00,budgeted_information_gain,0.42500,0.07583,0.43333,0.35638,0.02083,240
material,1.00,calibrated_debt_threshold,0.62083,0.09773,0.15000,0.21746,0.00833,240
material,1.00,grounding_debt_planner_v5,0.57500,0.09570,0.17083,0.32663,0.00833,240
material,1.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
material,1.25,vision_language_policy,0.52917,0.05586,0.23333,0.00000,0.05000,240
material,1.25,greedy_active_touch,0.46250,0.05768,0.35417,0.26400,0.05417,240
material,1.25,strong_tactile_then_policy,0.39167,0.03267,0.42083,0.79000,0.00000,240
material,1.25,risk_aware_touch_policy,0.56667,0.06349,0.19583,0.22208,0.02917,240
material,1.25,budgeted_information_gain,0.39583,0.03278,0.43333,0.35613,0.03750,240
material,1.25,calibrated_debt_threshold,0.55833,0.06111,0.19583,0.21571,0.03750,240
material,1.25,grounding_debt_planner_v5,0.50000,0.05444,0.21667,0.31604,0.01667,240
material,1.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
material,1.50,vision_language_policy,0.48333,0.03031,0.25833,0.00000,0.06250,240
material,1.50,greedy_active_touch,0.50000,0.05307,0.31667,0.26146,0.05000,240
material,1.50,strong_tactile_then_policy,0.38750,0.04047,0.42500,0.79000,0.00417,240
material,1.50,risk_aware_touch_policy,0.55417,0.04877,0.20833,0.22308,0.05000,240
material,1.50,budgeted_information_gain,0.44167,0.04423,0.39583,0.35667,0.03750,240
material,1.50,calibrated_debt_threshold,0.55417,0.04398,0.20833,0.21813,0.04583,240
material,1.50,grounding_debt_planner_v5,0.52083,0.05870,0.23333,0.32267,0.02500,240
material,1.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
safety,0.00,vision_language_policy,0.62500,0.03850,0.24167,0.00000,0.05833,240
safety,0.00,greedy_active_touch,0.75833,0.03175,0.17917,0.26096,0.04167,240
safety,0.00,strong_tactile_then_policy,0.80417,0.02450,0.15833,0.79000,0.00417,240
safety,0.00,risk_aware_touch_policy,0.80000,0.04839,0.07500,0.23900,0.06250,240
safety,0.00,budgeted_information_gain,0.68750,0.04596,0.26250,0.35688,0.06250,240
safety,0.00,calibrated_debt_threshold,0.80417,0.05586,0.07917,0.22150,0.05833,240
safety,0.00,grounding_debt_planner_v5,0.79583,0.03742,0.08750,0.35467,0.03750,240
safety,0.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
safety,0.25,vision_language_policy,0.64167,0.06690,0.20000,0.00000,0.04583,240
safety,0.25,greedy_active_touch,0.71250,0.06607,0.19167,0.26296,0.03333,240
safety,0.25,strong_tactile_then_policy,0.79583,0.06142,0.14167,0.79000,0.00417,240
safety,0.25,risk_aware_touch_policy,0.75000,0.04555,0.07500,0.23150,0.07083,240
safety,0.25,budgeted_information_gain,0.66250,0.07350,0.25833,0.35550,0.05000,240
safety,0.25,calibrated_debt_threshold,0.75833,0.04990,0.07500,0.22087,0.06667,240
safety,0.25,grounding_debt_planner_v5,0.78333,0.05279,0.06667,0.34158,0.04167,240
safety,0.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
safety,0.50,vision_language_policy,0.60417,0.07228,0.24583,0.00000,0.04167,240
safety,0.50,greedy_active_touch,0.66667,0.06087,0.24583,0.25954,0.03750,240
safety,0.50,strong_tactile_then_policy,0.53750,0.05086,0.41667,0.79000,0.00833,240
safety,0.50,risk_aware_touch_policy,0.78750,0.04938,0.07500,0.21863,0.04167,240
safety,0.50,budgeted_information_gain,0.48750,0.04047,0.47500,0.35563,0.07500,240
safety,0.50,calibrated_debt_threshold,0.80417,0.04226,0.07917,0.21104,0.03333,240
safety,0.50,grounding_debt_planner_v5,0.80000,0.04001,0.08333,0.31700,0.03333,240
safety,0.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
safety,0.75,vision_language_policy,0.61250,0.05314,0.23333,0.00000,0.05000,240
safety,0.75,greedy_active_touch,0.59167,0.05684,0.35000,0.26188,0.04583,240
safety,0.75,strong_tactile_then_policy,0.35000,0.07223,0.62500,0.79000,0.00000,240
safety,0.75,risk_aware_touch_policy,0.77500,0.06111,0.08333,0.21029,0.05000,240
safety,0.75,budgeted_information_gain,0.78333,0.07078,0.14583,0.22175,0.05417,240
safety,0.75,calibrated_debt_threshold,0.75417,0.06827,0.11667,0.19729,0.03750,240
safety,0.75,grounding_debt_planner_v5,0.76250,0.06562,0.10417,0.18887,0.04167,240
safety,0.75,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
safety,1.00,vision_language_policy,0.62083,0.06827,0.25417,0.00000,0.03750,240
safety,1.00,greedy_active_touch,0.53750,0.05895,0.41250,0.26346,0.04167,240
safety,1.00,strong_tactile_then_policy,0.28333,0.04990,0.70417,0.79000,0.00000,240
safety,1.00,risk_aware_touch_policy,0.78750,0.05229,0.11250,0.20192,0.03750,240
safety,1.00,budgeted_information_gain,0.73750,0.08439,0.21250,0.22317,0.03750,240
safety,1.00,calibrated_debt_threshold,0.72500,0.05989,0.16667,0.19579,0.04583,240
safety,1.00,grounding_debt_planner_v5,0.76667,0.05334,0.12917,0.18508,0.04583,240
safety,1.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
safety,1.25,vision_language_policy,0.52917,0.05172,0.29167,0.00000,0.08333,240
safety,1.25,greedy_active_touch,0.45000,0.06646,0.47917,0.26221,0.01667,240
safety,1.25,strong_tactile_then_policy,0.35417,0.03703,0.61250,0.79000,0.00000,240
safety,1.25,risk_aware_touch_policy,0.73750,0.06214,0.12917,0.21013,0.05833,240
safety,1.25,budgeted_information_gain,0.67083,0.06935,0.22917,0.22313,0.05000,240
safety,1.25,calibrated_debt_threshold,0.72500,0.05472,0.15000,0.20233,0.04583,240
safety,1.25,grounding_debt_planner_v5,0.72083,0.06674,0.13333,0.19208,0.04583,240
safety,1.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
safety,1.50,vision_language_policy,0.57500,0.06063,0.24167,0.00000,0.02917,240
safety,1.50,greedy_active_touch,0.35000,0.04746,0.58750,0.26621,0.04167,240
safety,1.50,strong_tactile_then_policy,0.00000,0.00000,1.00000,0.79000,0.00000,240
safety,1.50,risk_aware_touch_policy,0.75000,0.06887,0.10417,0.20542,0.01667,240
safety,1.50,budgeted_information_gain,0.67500,0.06865,0.25000,0.22175,0.05833,240
safety,1.50,calibrated_debt_threshold,0.69167,0.06465,0.18333,0.20179,0.03750,240
safety,1.50,grounding_debt_planner_v5,0.73333,0.07325,0.10833,0.19083,0.01667,240
safety,1.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
combined,0.00,vision_language_policy,0.73333,0.05605,0.16250,0.00000,0.05000,240
combined,0.00,greedy_active_touch,0.79583,0.03539,0.16250,0.26396,0.06667,240
combined,0.00,strong_tactile_then_policy,0.86667,0.03611,0.11667,0.79000,0.01667,240
combined,0.00,risk_aware_touch_policy,0.87500,0.04217,0.02917,0.23492,0.08333,240
combined,0.00,budgeted_information_gain,0.71250,0.07041,0.27083,0.35608,0.13750,240
combined,0.00,calibrated_debt_threshold,0.88750,0.04723,0.02917,0.20642,0.05833,240
combined,0.00,grounding_debt_planner_v5,0.90833,0.04182,0.02917,0.34533,0.03333,240
combined,0.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
combined,0.25,vision_language_policy,0.64583,0.06117,0.17917,0.00000,0.04167,240
combined,0.25,greedy_active_touch,0.63750,0.09033,0.25000,0.26275,0.05417,240
combined,0.25,strong_tactile_then_policy,0.54167,0.06668,0.37917,0.79000,0.01250,240
combined,0.25,risk_aware_touch_policy,0.79167,0.07099,0.06667,0.23529,0.02917,240
combined,0.25,budgeted_information_gain,0.57500,0.05684,0.34167,0.35821,0.06667,240
combined,0.25,calibrated_debt_threshold,0.80000,0.06533,0.06250,0.22296,0.01667,240
combined,0.25,grounding_debt_planner_v5,0.79167,0.05020,0.07083,0.34246,0.00833,240
combined,0.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
combined,0.50,vision_language_policy,0.55417,0.04398,0.20833,0.00000,0.02917,240
combined,0.50,greedy_active_touch,0.55417,0.04723,0.27500,0.25813,0.02500,240
combined,0.50,strong_tactile_then_policy,0.50417,0.03742,0.37083,0.79000,0.00000,240
combined,0.50,risk_aware_touch_policy,0.67083,0.04296,0.13333,0.22087,0.02917,240
combined,0.50,budgeted_information_gain,0.64583,0.05612,0.20833,0.21867,0.02500,240
combined,0.50,calibrated_debt_threshold,0.65417,0.04047,0.15417,0.20867,0.02083,240
combined,0.50,grounding_debt_planner_v5,0.65417,0.04877,0.15000,0.20338,0.02083,240
combined,0.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
combined,0.75,vision_language_policy,0.38750,0.06999,0.27917,0.00000,0.03333,240
combined,0.75,greedy_active_touch,0.39167,0.08626,0.34583,0.26158,0.01250,240
combined,0.75,strong_tactile_then_policy,0.25000,0.04555,0.57083,0.79000,0.00000,240
combined,0.75,risk_aware_touch_policy,0.50833,0.08930,0.19167,0.21867,0.03333,240
