stress_axis,stress_level,method,action_success,ci95_success,damage,probe_cost,false_safe_confidence,rows
language,0.00,vision_language_policy,0.77500,0.05736,0.13333,0.00000,0.09583,240
language,0.00,greedy_active_touch,0.84583,0.04563,0.12500,0.27237,0.07500,240
language,0.00,strong_tactile_then_policy,0.85417,0.04083,0.13333,0.79000,0.02500,240
language,0.00,risk_aware_touch_policy,0.88333,0.04182,0.02083,0.23683,0.09167,240
language,0.00,budgeted_information_gain,0.78333,0.05813,0.19167,0.35617,0.12083,240
language,0.00,calibrated_debt_threshold,0.87083,0.03935,0.02500,0.17942,0.09583,240
language,0.00,grounding_debt_planner_v5,0.87500,0.03652,0.02500,0.34500,0.08750,240
language,0.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
language,0.25,vision_language_policy,0.79583,0.04465,0.13333,0.00000,0.06667,240
language,0.25,greedy_active_touch,0.82083,0.02126,0.14167,0.26383,0.05833,240
language,0.25,strong_tactile_then_policy,0.85833,0.04074,0.13750,0.79000,0.02917,240
language,0.25,risk_aware_touch_policy,0.88750,0.02450,0.02917,0.23329,0.06667,240
language,0.25,budgeted_information_gain,0.81250,0.03278,0.17917,0.35600,0.09167,240
language,0.25,calibrated_debt_threshold,0.90417,0.02994,0.01667,0.19804,0.06667,240
language,0.25,grounding_debt_planner_v5,0.91250,0.03323,0.01667,0.34446,0.05833,240
language,0.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
language,0.50,vision_language_policy,0.73333,0.06111,0.12917,0.00000,0.07083,240
language,0.50,greedy_active_touch,0.83333,0.06326,0.10833,0.26742,0.03750,240
language,0.50,strong_tactile_then_policy,0.85417,0.04754,0.12083,0.79000,0.02917,240
language,0.50,risk_aware_touch_policy,0.83750,0.03742,0.02083,0.23742,0.07917,240
language,0.50,budgeted_information_gain,0.75833,0.02932,0.17917,0.35642,0.10000,240
language,0.50,calibrated_debt_threshold,0.83750,0.03323,0.02500,0.21450,0.08750,240
language,0.50,grounding_debt_planner_v5,0.85417,0.03703,0.02500,0.35092,0.05833,240
language,0.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
language,0.75,vision_language_policy,0.69167,0.05989,0.14583,0.00000,0.02917,240
language,0.75,greedy_active_touch,0.79583,0.02842,0.10833,0.26025,0.05000,240
language,0.75,strong_tactile_then_policy,0.87083,0.03323,0.11250,0.79000,0.01667,240
language,0.75,risk_aware_touch_policy,0.80833,0.04588,0.05000,0.23292,0.07917,240
language,0.75,budgeted_information_gain,0.78750,0.04785,0.16667,0.35650,0.09583,240
language,0.75,calibrated_debt_threshold,0.80417,0.04877,0.05000,0.22375,0.07917,240
language,0.75,grounding_debt_planner_v5,0.82917,0.04119,0.04167,0.34938,0.06667,240
language,0.75,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
language,1.00,vision_language_policy,0.63333,0.07965,0.20417,0.00000,0.03333,240
language,1.00,greedy_active_touch,0.75000,0.06556,0.17083,0.26329,0.04167,240
language,1.00,strong_tactile_then_policy,0.83333,0.04555,0.14583,0.79000,0.01667,240
language,1.00,risk_aware_touch_policy,0.81667,0.05194,0.07083,0.23567,0.07083,240
language,1.00,budgeted_information_gain,0.75417,0.06261,0.21250,0.35679,0.12500,240
language,1.00,calibrated_debt_threshold,0.81667,0.04588,0.07500,0.22342,0.07917,240
language,1.00,grounding_debt_planner_v5,0.85417,0.04261,0.06250,0.34921,0.08333,240
language,1.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
language,1.25,vision_language_policy,0.62083,0.03935,0.21667,0.00000,0.03750,240
language,1.25,greedy_active_touch,0.77500,0.04423,0.12917,0.26050,0.01667,240
language,1.25,strong_tactile_then_policy,0.89167,0.03486,0.07917,0.79000,0.00833,240
language,1.25,risk_aware_touch_policy,0.80417,0.03232,0.04167,0.23204,0.05833,240
language,1.25,budgeted_information_gain,0.74167,0.05552,0.20000,0.35879,0.06667,240
language,1.25,calibrated_debt_threshold,0.80417,0.03454,0.04167,0.22617,0.05417,240
language,1.25,grounding_debt_planner_v5,0.85000,0.03031,0.03333,0.35008,0.04167,240
language,1.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
language,1.50,vision_language_policy,0.53750,0.08386,0.24167,0.00000,0.05417,240
language,1.50,greedy_active_touch,0.72917,0.07330,0.15833,0.26017,0.04167,240
language,1.50,strong_tactile_then_policy,0.86250,0.04226,0.10833,0.79000,0.00417,240
language,1.50,risk_aware_touch_policy,0.76250,0.03454,0.06667,0.23488,0.07917,240
language,1.50,budgeted_information_gain,0.75833,0.03400,0.20833,0.35700,0.08750,240
language,1.50,calibrated_debt_threshold,0.79167,0.03652,0.06667,0.22767,0.06667,240
language,1.50,grounding_debt_planner_v5,0.82500,0.04683,0.06667,0.34775,0.07500,240
language,1.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
vision,0.00,vision_language_policy,0.82917,0.05369,0.10417,0.00000,0.06667,240
vision,0.00,greedy_active_touch,0.87083,0.03539,0.09583,0.26192,0.05833,240
vision,0.00,strong_tactile_then_policy,0.83750,0.03742,0.14167,0.79000,0.01667,240
vision,0.00,risk_aware_touch_policy,0.87500,0.03221,0.03333,0.23529,0.06250,240
vision,0.00,budgeted_information_gain,0.72917,0.04431,0.25000,0.35596,0.14167,240
vision,0.00,calibrated_debt_threshold,0.86250,0.03454,0.04167,0.19063,0.05417,240
vision,0.00,grounding_debt_planner_v5,0.86667,0.04001,0.05000,0.34096,0.05000,240
vision,0.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
vision,0.25,vision_language_policy,0.60417,0.09292,0.24167,0.00000,0.05833,240
vision,0.25,greedy_active_touch,0.76250,0.06214,0.18333,0.26062,0.05000,240
vision,0.25,strong_tactile_then_policy,0.76250,0.06999,0.20000,0.79000,0.01667,240
vision,0.25,risk_aware_touch_policy,0.77917,0.05970,0.06667,0.23592,0.10417,240
vision,0.25,budgeted_information_gain,0.63333,0.07284,0.30417,0.35696,0.12917,240
vision,0.25,calibrated_debt_threshold,0.79167,0.06442,0.06667,0.20446,0.07917,240
vision,0.25,grounding_debt_planner_v5,0.79583,0.05895,0.06667,0.34496,0.05000,240
vision,0.25,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
vision,0.50,vision_language_policy,0.58750,0.06142,0.19167,0.00000,0.05833,240
vision,0.50,greedy_active_touch,0.75000,0.06442,0.10417,0.26062,0.03750,240
vision,0.50,strong_tactile_then_policy,0.82500,0.04356,0.11250,0.79000,0.01667,240
vision,0.50,risk_aware_touch_policy,0.76667,0.07622,0.05000,0.23683,0.06250,240
vision,0.50,budgeted_information_gain,0.63333,0.08328,0.28750,0.35600,0.09167,240
vision,0.50,calibrated_debt_threshold,0.78333,0.06533,0.05417,0.22275,0.05833,240
vision,0.50,grounding_debt_planner_v5,0.79167,0.06442,0.04583,0.34483,0.05000,240
vision,0.50,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
vision,0.75,vision_language_policy,0.57500,0.07680,0.24583,0.00000,0.04167,240
vision,0.75,greedy_active_touch,0.71250,0.06378,0.21250,0.26029,0.03333,240
vision,0.75,strong_tactile_then_policy,0.82917,0.06607,0.14167,0.79000,0.00833,240
vision,0.75,risk_aware_touch_policy,0.77917,0.04398,0.09583,0.23733,0.03333,240
vision,0.75,budgeted_information_gain,0.65833,0.03811,0.31250,0.35738,0.05833,240
vision,0.75,calibrated_debt_threshold,0.81250,0.04908,0.09583,0.22637,0.02500,240
vision,0.75,grounding_debt_planner_v5,0.82917,0.05369,0.08333,0.34917,0.03333,240
vision,0.75,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
vision,1.00,vision_language_policy,0.47500,0.05989,0.26667,0.00000,0.03750,240
vision,1.00,greedy_active_touch,0.63750,0.06674,0.20417,0.25958,0.02917,240
vision,1.00,strong_tactile_then_policy,0.74583,0.04296,0.20417,0.79000,0.00833,240
vision,1.00,risk_aware_touch_policy,0.69583,0.06562,0.12083,0.23575,0.05417,240
vision,1.00,budgeted_information_gain,0.58750,0.06142,0.35833,0.35567,0.07083,240
vision,1.00,calibrated_debt_threshold,0.73750,0.05451,0.12083,0.22842,0.02917,240
vision,1.00,grounding_debt_planner_v5,0.75833,0.04182,0.11667,0.34692,0.02500,240
vision,1.00,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,0.00000,240
vision,1.25,vision_language_policy,0.42917,0.06448,0.28333,0.00000,0.04167,240
vision,1.25,greedy_active_touch,0.56667,0.05334,0.25417,0.25992,0.02500,240
vision,1.25,strong_tactile_then_policy,0.80417,0.06214,0.14583,0.79000,0.00417,240
vision,1.25,risk_aware_touch_policy,0.64167,0.07622,0.13333,0.23492,0.04167,240
