split,method,seed,episodes,action_success,damage,slip_or_drop,param_error,probe_count,probe_cost,fact_accuracy,debt_calibration_error,false_safe_confidence,abstain_rate,tail_param_error
hard_aggregate,language_prior_policy,0,384,0.52604,0.26823,0.15885,0.24798,0.00000,0.00000,0.85764,0.44961,0.03646,0.00000,0.36891
hard_aggregate,language_prior_policy,1,384,0.54427,0.27083,0.14583,0.24833,0.00000,0.00000,0.83160,0.42479,0.04167,0.00000,0.37624
hard_aggregate,language_prior_policy,2,384,0.48698,0.29948,0.17188,0.25312,0.00000,0.00000,0.83420,0.41408,0.05990,0.00000,0.39690
hard_aggregate,language_prior_policy,3,384,0.51562,0.27604,0.16667,0.24711,0.00000,0.00000,0.85938,0.43659,0.04427,0.00000,0.37280
hard_aggregate,language_prior_policy,4,384,0.47396,0.29688,0.17448,0.24973,0.00000,0.00000,0.84896,0.43395,0.05469,0.00000,0.37776
hard_aggregate,language_prior_policy,5,384,0.54948,0.23438,0.16146,0.24032,0.00000,0.00000,0.84722,0.42580,0.05208,0.00000,0.36440
hard_aggregate,language_prior_policy,6,384,0.53906,0.25260,0.14844,0.23980,0.00000,0.00000,0.85851,0.43623,0.05208,0.00000,0.37865
hard_aggregate,language_prior_policy,7,384,0.51302,0.26042,0.16406,0.24804,0.00000,0.00000,0.83941,0.43122,0.03385,0.00000,0.37160
hard_aggregate,language_prior_policy,8,384,0.50521,0.26042,0.17708,0.24467,0.00000,0.00000,0.83941,0.42036,0.08333,0.00000,0.36882
hard_aggregate,language_prior_policy,9,384,0.53125,0.28385,0.14323,0.24730,0.00000,0.00000,0.83247,0.41167,0.05729,0.00000,0.38311
hard_aggregate,vision_language_policy,0,384,0.50781,0.25260,0.16667,0.25321,0.00000,0.00000,0.73958,0.37561,0.05208,0.00000,0.41978
hard_aggregate,vision_language_policy,1,384,0.45573,0.30729,0.17188,0.26072,0.00000,0.00000,0.71441,0.37798,0.04427,0.00000,0.38770
hard_aggregate,vision_language_policy,2,384,0.46875,0.31510,0.16146,0.25934,0.00000,0.00000,0.72743,0.38102,0.02344,0.00000,0.39602
hard_aggregate,vision_language_policy,3,384,0.49219,0.28646,0.17188,0.26167,0.00000,0.00000,0.72830,0.37995,0.03906,0.00000,0.40336
hard_aggregate,vision_language_policy,4,384,0.46615,0.28906,0.17969,0.25803,0.00000,0.00000,0.75521,0.38667,0.04167,0.00000,0.39117
