split,target,reference,metric,mean_diff,ci95,target_better_seeds,seeds
seen_clean,grounding_debt_planner_v5,passive_tactile_classifier,action_success,-0.00208,0.03131,5,10
seen_clean,grounding_debt_planner_v5,passive_tactile_classifier,damage,-0.02292,0.01284,7,10
seen_clean,grounding_debt_planner_v5,passive_tactile_classifier,probe_cost,0.09813,0.00549,0,10
seen_clean,grounding_debt_planner_v5,passive_tactile_classifier,fact_accuracy,0.01389,0.00537,9,10
seen_clean,grounding_debt_planner_v5,passive_tactile_classifier,debt_calibration_error,-0.08268,0.00862,10,10
seen_clean,grounding_debt_planner_v5,passive_tactile_classifier,false_safe_confidence,0.03333,0.01743,0,10
seen_clean,grounding_debt_planner_v5,passive_tactile_classifier,abstain_rate,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,greedy_active_touch,action_success,0.00208,0.02314,4,10
seen_clean,grounding_debt_planner_v5,greedy_active_touch,damage,-0.04584,0.00817,10,10
seen_clean,grounding_debt_planner_v5,greedy_active_touch,probe_cost,0.06756,0.00653,0,10
seen_clean,grounding_debt_planner_v5,greedy_active_touch,fact_accuracy,0.00416,0.00222,6,10
seen_clean,grounding_debt_planner_v5,greedy_active_touch,debt_calibration_error,-0.07000,0.00585,10,10
seen_clean,grounding_debt_planner_v5,greedy_active_touch,false_safe_confidence,0.01458,0.02586,3,10
seen_clean,grounding_debt_planner_v5,greedy_active_touch,abstain_rate,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,strong_tactile_then_policy,action_success,0.05833,0.03378,9,10
seen_clean,grounding_debt_planner_v5,strong_tactile_then_policy,damage,-0.11250,0.02450,10,10
seen_clean,grounding_debt_planner_v5,strong_tactile_then_policy,probe_cost,-0.45187,0.00549,10,10
seen_clean,grounding_debt_planner_v5,strong_tactile_then_policy,fact_accuracy,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,strong_tactile_then_policy,debt_calibration_error,-0.02230,0.00257,10,10
seen_clean,grounding_debt_planner_v5,strong_tactile_then_policy,false_safe_confidence,-0.01458,0.02985,5,10
seen_clean,grounding_debt_planner_v5,strong_tactile_then_policy,abstain_rate,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,risk_aware_touch_policy,action_success,0.00417,0.00817,3,10
seen_clean,grounding_debt_planner_v5,risk_aware_touch_policy,damage,0.00000,0.00609,1,10
seen_clean,grounding_debt_planner_v5,risk_aware_touch_policy,probe_cost,0.09948,0.00483,0,10
seen_clean,grounding_debt_planner_v5,risk_aware_touch_policy,fact_accuracy,0.00139,0.00181,2,10
seen_clean,grounding_debt_planner_v5,risk_aware_touch_policy,debt_calibration_error,-0.01319,0.00387,9,10
seen_clean,grounding_debt_planner_v5,risk_aware_touch_policy,false_safe_confidence,0.00208,0.01421,4,10
seen_clean,grounding_debt_planner_v5,risk_aware_touch_policy,abstain_rate,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,budgeted_information_gain,action_success,0.02917,0.03400,7,10
seen_clean,grounding_debt_planner_v5,budgeted_information_gain,damage,-0.07500,0.02373,10,10
seen_clean,grounding_debt_planner_v5,budgeted_information_gain,probe_cost,-0.01677,0.00505,10,10
seen_clean,grounding_debt_planner_v5,budgeted_information_gain,fact_accuracy,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,budgeted_information_gain,debt_calibration_error,-0.00730,0.00130,10,10
seen_clean,grounding_debt_planner_v5,budgeted_information_gain,false_safe_confidence,-0.02083,0.02790,5,10
seen_clean,grounding_debt_planner_v5,budgeted_information_gain,abstain_rate,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,calibrated_debt_threshold,action_success,0.01875,0.01968,7,10
seen_clean,grounding_debt_planner_v5,calibrated_debt_threshold,damage,0.00000,0.01054,2,10
seen_clean,grounding_debt_planner_v5,calibrated_debt_threshold,probe_cost,0.19873,0.01041,0,10
seen_clean,grounding_debt_planner_v5,calibrated_debt_threshold,fact_accuracy,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,calibrated_debt_threshold,debt_calibration_error,-0.03740,0.00508,10,10
seen_clean,grounding_debt_planner_v5,calibrated_debt_threshold,false_safe_confidence,-0.00833,0.01944,5,10
seen_clean,grounding_debt_planner_v5,calibrated_debt_threshold,abstain_rate,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,counterfactual_material_filter,action_success,0.02708,0.01831,8,10
seen_clean,grounding_debt_planner_v5,counterfactual_material_filter,damage,-0.01666,0.01334,7,10
seen_clean,grounding_debt_planner_v5,counterfactual_material_filter,probe_cost,0.15367,0.00805,0,10
seen_clean,grounding_debt_planner_v5,counterfactual_material_filter,fact_accuracy,0.00000,0.00000,0,10
seen_clean,grounding_debt_planner_v5,counterfactual_material_filter,debt_calibration_error,-0.01757,0.00495,10,10
seen_clean,grounding_debt_planner_v5,counterfactual_material_filter,false_safe_confidence,-0.02292,0.01662,8,10
seen_clean,grounding_debt_planner_v5,counterfactual_material_filter,abstain_rate,0.00000,0.00000,0,10
language_alias_shift,grounding_debt_planner_v5,passive_tactile_classifier,action_success,0.02917,0.02667,7,10
language_alias_shift,grounding_debt_planner_v5,passive_tactile_classifier,damage,-0.04375,0.02469,8,10
language_alias_shift,grounding_debt_planner_v5,passive_tactile_classifier,probe_cost,0.11406,0.00193,0,10
language_alias_shift,grounding_debt_planner_v5,passive_tactile_classifier,fact_accuracy,0.04792,0.01258,10,10
language_alias_shift,grounding_debt_planner_v5,passive_tactile_classifier,debt_calibration_error,-0.07922,0.01445,10,10
language_alias_shift,grounding_debt_planner_v5,passive_tactile_classifier,false_safe_confidence,0.02917,0.01388,0,10
language_alias_shift,grounding_debt_planner_v5,passive_tactile_classifier,abstain_rate,0.00000,0.00000,0,10
language_alias_shift,grounding_debt_planner_v5,greedy_active_touch,action_success,0.04792,0.03107,8,10
language_alias_shift,grounding_debt_planner_v5,greedy_active_touch,damage,-0.08750,0.02001,10,10
language_alias_shift,grounding_debt_planner_v5,greedy_active_touch,probe_cost,0.09252,0.00442,0,10
language_alias_shift,grounding_debt_planner_v5,greedy_active_touch,fact_accuracy,0.03889,0.01115,10,10
language_alias_shift,grounding_debt_planner_v5,greedy_active_touch,debt_calibration_error,-0.04512,0.01622,9,10
language_alias_shift,grounding_debt_planner_v5,greedy_active_touch,false_safe_confidence,0.02292,0.02753,3,10
language_alias_shift,grounding_debt_planner_v5,greedy_active_touch,abstain_rate,0.00000,0.00000,0,10
language_alias_shift,grounding_debt_planner_v5,strong_tactile_then_policy,action_success,-0.03750,0.02709,1,10
language_alias_shift,grounding_debt_planner_v5,strong_tactile_then_policy,damage,-0.04375,0.02753,8,10
language_alias_shift,grounding_debt_planner_v5,strong_tactile_then_policy,probe_cost,-0.43594,0.00193,10,10
language_alias_shift,grounding_debt_planner_v5,strong_tactile_then_policy,fact_accuracy,0.00416,0.00301,5,10
language_alias_shift,grounding_debt_planner_v5,strong_tactile_then_policy,debt_calibration_error,-0.02756,0.00399,10,10
language_alias_shift,grounding_debt_planner_v5,strong_tactile_then_policy,false_safe_confidence,0.04583,0.02000,1,10
language_alias_shift,grounding_debt_planner_v5,strong_tactile_then_policy,abstain_rate,0.00000,0.00000,0,10
language_alias_shift,grounding_debt_planner_v5,risk_aware_touch_policy,action_success,-0.01042,0.02298,4,10
language_alias_shift,grounding_debt_planner_v5,risk_aware_touch_policy,damage,0.02083,0.02278,3,10
language_alias_shift,grounding_debt_planner_v5,risk_aware_touch_policy,probe_cost,0.11627,0.00340,0,10
language_alias_shift,grounding_debt_planner_v5,risk_aware_touch_policy,fact_accuracy,0.01250,0.00635,8,10
language_alias_shift,grounding_debt_planner_v5,risk_aware_touch_policy,debt_calibration_error,-0.01519,0.01063,9,10
