split,method,metric,mean,ci95,seeds,episodes_per_seed
seen_clean,language_prior_policy,action_success,0.78125,0.04140,10,48
seen_clean,language_prior_policy,damage,0.13542,0.03235,10,48
seen_clean,language_prior_policy,slip_or_drop,0.07917,0.02568,10,48
seen_clean,language_prior_policy,param_error,0.17711,0.00714,10,48
seen_clean,language_prior_policy,probe_count,0.00000,0.00000,10,48
seen_clean,language_prior_policy,probe_cost,0.00000,0.00000,10,48
seen_clean,language_prior_policy,fact_accuracy,0.98889,0.00615,10,48
seen_clean,language_prior_policy,debt_calibration_error,0.35893,0.01492,10,48
seen_clean,language_prior_policy,false_safe_confidence,0.12917,0.02842,10,48
seen_clean,language_prior_policy,abstain_rate,0.00000,0.00000,10,48
seen_clean,language_prior_policy,tail_param_error,0.26336,0.01540,10,48
seen_clean,vision_language_policy,action_success,0.86458,0.03457,10,48
seen_clean,vision_language_policy,damage,0.07291,0.03348,10,48
seen_clean,vision_language_policy,slip_or_drop,0.05625,0.01727,10,48
seen_clean,vision_language_policy,param_error,0.15274,0.00443,10,48
seen_clean,vision_language_policy,probe_count,0.00000,0.00000,10,48
seen_clean,vision_language_policy,probe_cost,0.00000,0.00000,10,48
seen_clean,vision_language_policy,fact_accuracy,0.96597,0.00823,10,48
seen_clean,vision_language_policy,debt_calibration_error,0.34978,0.01248,10,48
seen_clean,vision_language_policy,false_safe_confidence,0.06875,0.02985,10,48
seen_clean,vision_language_policy,abstain_rate,0.00000,0.00000,10,48
seen_clean,vision_language_policy,tail_param_error,0.22987,0.01375,10,48
seen_clean,uncertainty_threshold_policy,action_success,0.78750,0.03539,10,48
seen_clean,uncertainty_threshold_policy,damage,0.02917,0.01516,10,48
seen_clean,uncertainty_threshold_policy,slip_or_drop,0.15000,0.03693,10,48
seen_clean,uncertainty_threshold_policy,param_error,0.18000,0.00532,10,48
seen_clean,uncertainty_threshold_policy,probe_count,0.00000,0.00000,10,48
seen_clean,uncertainty_threshold_policy,probe_cost,0.00000,0.00000,10,48
seen_clean,uncertainty_threshold_policy,fact_accuracy,0.96597,0.00823,10,48
seen_clean,uncertainty_threshold_policy,debt_calibration_error,0.34978,0.01248,10,48
seen_clean,uncertainty_threshold_policy,false_safe_confidence,0.11875,0.02439,10,48
seen_clean,uncertainty_threshold_policy,abstain_rate,0.00000,0.00000,10,48
seen_clean,uncertainty_threshold_policy,tail_param_error,0.31706,0.02294,10,48
seen_clean,passive_tactile_classifier,action_success,0.93333,0.02342,10,48
seen_clean,passive_tactile_classifier,damage,0.03125,0.01851,10,48
seen_clean,passive_tactile_classifier,slip_or_drop,0.02917,0.01248,10,48
seen_clean,passive_tactile_classifier,param_error,0.13528,0.00490,10,48
seen_clean,passive_tactile_classifier,probe_count,2.00000,0.00000,10,48
seen_clean,passive_tactile_classifier,probe_cost,0.24000,0.00000,10,48
seen_clean,passive_tactile_classifier,fact_accuracy,0.98611,0.00537,10,48
seen_clean,passive_tactile_classifier,debt_calibration_error,0.32687,0.01046,10,48
seen_clean,passive_tactile_classifier,false_safe_confidence,0.02500,0.01587,10,48
seen_clean,passive_tactile_classifier,abstain_rate,0.00000,0.00000,10,48
seen_clean,passive_tactile_classifier,tail_param_error,0.19827,0.01096,10,48
seen_clean,greedy_active_touch,action_success,0.92917,0.01516,10,48
seen_clean,greedy_active_touch,damage,0.05417,0.01247,10,48
seen_clean,greedy_active_touch,slip_or_drop,0.01667,0.00817,10,48
seen_clean,greedy_active_touch,param_error,0.11551,0.00266,10,48
seen_clean,greedy_active_touch,probe_count,2.00000,0.00000,10,48
seen_clean,greedy_active_touch,probe_cost,0.27056,0.00469,10,48
seen_clean,greedy_active_touch,fact_accuracy,0.99584,0.00222,10,48
seen_clean,greedy_active_touch,debt_calibration_error,0.31419,0.00600,10,48
seen_clean,greedy_active_touch,false_safe_confidence,0.04375,0.01546,10,48
seen_clean,greedy_active_touch,abstain_rate,0.00000,0.00000,10,48
seen_clean,greedy_active_touch,tail_param_error,0.16430,0.00559,10,48
seen_clean,strong_tactile_then_policy,action_success,0.87292,0.02753,10,48
seen_clean,strong_tactile_then_policy,damage,0.12083,0.03092,10,48
seen_clean,strong_tactile_then_policy,slip_or_drop,0.00625,0.00624,10,48
seen_clean,strong_tactile_then_policy,param_error,0.09623,0.00271,10,48
seen_clean,strong_tactile_then_policy,probe_count,6.00000,0.00000,10,48
seen_clean,strong_tactile_then_policy,probe_cost,0.79000,0.00000,10,48
seen_clean,strong_tactile_then_policy,fact_accuracy,1.00000,0.00000,10,48
seen_clean,strong_tactile_then_policy,debt_calibration_error,0.26648,0.00535,10,48
seen_clean,strong_tactile_then_policy,false_safe_confidence,0.07292,0.02377,10,48
seen_clean,strong_tactile_then_policy,abstain_rate,0.00000,0.00000,10,48
seen_clean,strong_tactile_then_policy,tail_param_error,0.14296,0.00401,10,48
seen_clean,risk_aware_touch_policy,action_success,0.92708,0.02216,10,48
seen_clean,risk_aware_touch_policy,damage,0.00833,0.00903,10,48
seen_clean,risk_aware_touch_policy,slip_or_drop,0.06458,0.02314,10,48
seen_clean,risk_aware_touch_policy,param_error,0.12970,0.00459,10,48
seen_clean,risk_aware_touch_policy,probe_count,2.00000,0.00000,10,48
seen_clean,risk_aware_touch_policy,probe_cost,0.23864,0.00272,10,48
seen_clean,risk_aware_touch_policy,fact_accuracy,0.99861,0.00181,10,48
seen_clean,risk_aware_touch_policy,debt_calibration_error,0.25737,0.00805,10,48
seen_clean,risk_aware_touch_policy,false_safe_confidence,0.05625,0.01831,10,48
seen_clean,risk_aware_touch_policy,abstain_rate,0.00000,0.00000,10,48
seen_clean,risk_aware_touch_policy,tail_param_error,0.19617,0.01389,10,48
