split,method,seed,episodes,action_success,damage,slip_or_drop,param_error,probe_count,probe_cost,fact_accuracy,debt_calibration_error,false_safe_confidence,abstain_rate,tail_param_error
seen_clean,language_prior_policy,0,48,0.83333,0.12500,0.02083,0.19473,0.00000,0.00000,0.96528,0.33130,0.08333,0.00000,0.32335
seen_clean,language_prior_policy,1,48,0.79167,0.16667,0.02083,0.17422,0.00000,0.00000,1.00000,0.40446,0.12500,0.00000,0.25456
seen_clean,language_prior_policy,2,48,0.79167,0.12500,0.08333,0.17242,0.00000,0.00000,0.99306,0.35954,0.12500,0.00000,0.23595
seen_clean,language_prior_policy,3,48,0.83333,0.04167,0.12500,0.16157,0.00000,0.00000,0.99306,0.34152,0.08333,0.00000,0.27243
seen_clean,language_prior_policy,4,48,0.66667,0.22917,0.10417,0.18620,0.00000,0.00000,0.99306,0.35559,0.18750,0.00000,0.28098
seen_clean,language_prior_policy,5,48,0.70833,0.16667,0.12500,0.18244,0.00000,0.00000,0.99306,0.38803,0.14583,0.00000,0.25362
seen_clean,language_prior_policy,6,48,0.85417,0.08333,0.06250,0.16972,0.00000,0.00000,0.99306,0.36330,0.08333,0.00000,0.25199
seen_clean,language_prior_policy,7,48,0.77083,0.14583,0.08333,0.17621,0.00000,0.00000,0.98611,0.33084,0.18750,0.00000,0.25650
seen_clean,language_prior_policy,8,48,0.85417,0.10417,0.04167,0.16189,0.00000,0.00000,0.99306,0.34317,0.08333,0.00000,0.24191
seen_clean,language_prior_policy,9,48,0.70833,0.16667,0.12500,0.19169,0.00000,0.00000,0.97917,0.37157,0.18750,0.00000,0.26231
seen_clean,vision_language_policy,0,48,0.87500,0.10417,0.02083,0.15600,0.00000,0.00000,0.96528,0.36316,0.02083,0.00000,0.25560
seen_clean,vision_language_policy,1,48,0.87500,0.08333,0.02083,0.15657,0.00000,0.00000,0.95833,0.36130,0.06250,0.00000,0.25133
seen_clean,vision_language_policy,2,48,0.85417,0.10417,0.04167,0.15444,0.00000,0.00000,0.97917,0.36970,0.08333,0.00000,0.22472
seen_clean,vision_language_policy,3,48,0.89583,0.00000,0.10417,0.14613,0.00000,0.00000,0.97917,0.37287,0.04167,0.00000,0.21178
seen_clean,vision_language_policy,4,48,0.77083,0.14583,0.06250,0.16314,0.00000,0.00000,0.94444,0.31954,0.12500,0.00000,0.26952
seen_clean,vision_language_policy,5,48,0.77083,0.14583,0.08333,0.15445,0.00000,0.00000,0.97222,0.36201,0.16667,0.00000,0.22063
seen_clean,vision_language_policy,6,48,0.93750,0.02083,0.04167,0.14536,0.00000,0.00000,0.97917,0.33242,0.02083,0.00000,0.19836
seen_clean,vision_language_policy,7,48,0.89583,0.02083,0.08333,0.13911,0.00000,0.00000,0.97222,0.33429,0.06250,0.00000,0.23142
seen_clean,vision_language_policy,8,48,0.91667,0.02083,0.06250,0.15353,0.00000,0.00000,0.94444,0.32312,0.02083,0.00000,0.21907
seen_clean,vision_language_policy,9,48,0.85417,0.08333,0.04167,0.15867,0.00000,0.00000,0.96528,0.35935,0.08333,0.00000,0.21632
seen_clean,uncertainty_threshold_policy,0,48,0.87500,0.04167,0.06250,0.17477,0.00000,0.00000,0.96528,0.36316,0.06250,0.00000,0.30273
seen_clean,uncertainty_threshold_policy,1,48,0.83333,0.04167,0.08333,0.17807,0.00000,0.00000,0.95833,0.36130,0.08333,0.00000,0.27075
seen_clean,uncertainty_threshold_policy,2,48,0.72917,0.06250,0.14583,0.18064,0.00000,0.00000,0.97917,0.36970,0.16667,0.00000,0.31655
seen_clean,uncertainty_threshold_policy,3,48,0.72917,0.00000,0.25000,0.18707,0.00000,0.00000,0.97917,0.37287,0.16667,0.00000,0.32991
seen_clean,uncertainty_threshold_policy,4,48,0.75000,0.02083,0.20833,0.18954,0.00000,0.00000,0.94444,0.31954,0.14583,0.00000,0.36211
seen_clean,uncertainty_threshold_policy,5,48,0.72917,0.06250,0.18750,0.18623,0.00000,0.00000,0.97222,0.36201,0.14583,0.00000,0.31687
seen_clean,uncertainty_threshold_policy,6,48,0.83333,0.00000,0.14583,0.16731,0.00000,0.00000,0.97917,0.33242,0.08333,0.00000,0.35207
seen_clean,uncertainty_threshold_policy,7,48,0.79167,0.02083,0.16667,0.16676,0.00000,0.00000,0.97222,0.33429,0.14583,0.00000,0.25181
seen_clean,uncertainty_threshold_policy,8,48,0.85417,0.00000,0.08333,0.17895,0.00000,0.00000,0.94444,0.32312,0.08333,0.00000,0.30447
seen_clean,uncertainty_threshold_policy,9,48,0.75000,0.04167,0.16667,0.19067,0.00000,0.00000,0.96528,0.35935,0.10417,0.00000,0.36336
seen_clean,passive_tactile_classifier,0,48,0.89583,0.08333,0.02083,0.14291,2.00000,0.24000,0.97917,0.32035,0.04167,0.00000,0.22447
