split,seed,episode_id,method,task,object_family,failure_label,probes,probe_cost,confidence,fact_accuracy,lesson
seen_clean,0,3,language_prior_policy,handoff,ceramic_tool,damage_or_probe_damage,none,0.00000,0.80188,0.66667,grounding can fail before action when tactile probing is too invasive
seen_clean,0,3,vision_language_policy,handoff,ceramic_tool,damage_or_probe_damage,none,0.00000,0.67791,0.33333,grounding can fail before action when tactile probing is too invasive
seen_clean,0,3,uncertainty_threshold_policy,handoff,ceramic_tool,damage_or_probe_damage,none,0.00000,0.67791,0.33333,grounding can fail before action when tactile probing is too invasive
seen_clean,0,3,passive_tactile_classifier,handoff,ceramic_tool,damage_or_probe_damage,slippery;heavy,0.24000,0.57568,0.66667,grounding can fail before action when tactile probing is too invasive
seen_clean,0,3,greedy_active_touch,handoff,ceramic_tool,damage_or_probe_damage,fragile;soft,0.23000,0.73171,0.66667,grounding can fail before action when tactile probing is too invasive
seen_clean,0,3,strong_tactile_then_policy,handoff,ceramic_tool,damage_or_probe_damage,fragile;slippery;heavy;full;soft;locked,0.79000,0.60286,1.00000,grounding can fail before action when tactile probing is too invasive
seen_clean,0,11,greedy_active_touch,insert,foam_insert,damage_or_probe_damage,soft;locked,0.28000,0.72303,1.00000,grounding can fail before action when tactile probing is too invasive
seen_clean,0,11,strong_tactile_then_policy,insert,foam_insert,damage_or_probe_damage,fragile;slippery;heavy;full;soft;locked,0.79000,0.68768,1.00000,grounding can fail before action when tactile probing is too invasive
seen_clean,0,12,risk_aware_touch_policy,pick,polished_cylinder,slip_or_drop,slippery;fragile,0.18000,0.74980,1.00000,language and vision under-estimated grip or support needs
seen_clean,0,12,calibrated_debt_threshold,pick,polished_cylinder,slip_or_drop,slippery,0.08000,0.77206,1.00000,language and vision under-estimated grip or support needs
seen_clean,0,12,counterfactual_material_filter,pick,polished_cylinder,slip_or_drop,slippery,0.08000,0.77315,1.00000,language and vision under-estimated grip or support needs
seen_clean,0,12,grounding_debt_planner_v5,pick,polished_cylinder,slip_or_drop,slippery;fragile;heavy,0.34000,0.75418,1.00000,language and vision under-estimated grip or support needs
seen_clean,0,13,language_prior_policy,pour,empty_cup,damage_or_probe_damage,none,0.00000,0.60359,0.66667,grounding can fail before action when tactile probing is too invasive
seen_clean,0,14,language_prior_policy,open,loose_lid_box,wrong_action_parameter,none,0.00000,0.68454,0.66667,hidden tactile facts were not resolved enough to set action parameters
seen_clean,0,14,uncertainty_threshold_policy,open,loose_lid_box,wrong_action_parameter,none,0.00000,0.58609,1.00000,hidden tactile facts were not resolved enough to set action parameters
seen_clean,0,17,language_prior_policy,insert,rigid_insert,slip_or_drop,none,0.00000,0.66799,1.00000,language and vision under-estimated grip or support needs
