split,target,reference,metric,mean_diff,ci95,target_better_seeds,seeds
hard_aggregate,grounding_debt_planner_v5,passive_tactile_classifier,action_success,0.05755,0.01349,10,10
hard_aggregate,grounding_debt_planner_v5,passive_tactile_classifier,damage,-0.06719,0.00953,10,10
hard_aggregate,grounding_debt_planner_v5,passive_tactile_classifier,probe_cost,0.01647,0.00090,0,10
hard_aggregate,grounding_debt_planner_v5,passive_tactile_classifier,fact_accuracy,0.05295,0.00526,10,10
hard_aggregate,grounding_debt_planner_v5,passive_tactile_classifier,debt_calibration_error,-0.02173,0.00443,10,10
hard_aggregate,grounding_debt_planner_v5,passive_tactile_classifier,false_safe_confidence,0.01771,0.00622,0,10
hard_aggregate,grounding_debt_planner_v5,passive_tactile_classifier,abstain_rate,0.00000,0.00000,0,10
hard_aggregate,grounding_debt_planner_v5,greedy_active_touch,action_success,0.12891,0.01490,10,10
hard_aggregate,grounding_debt_planner_v5,greedy_active_touch,damage,-0.17136,0.00790,10,10
hard_aggregate,grounding_debt_planner_v5,greedy_active_touch,probe_cost,-0.00600,0.00123,10,10
hard_aggregate,grounding_debt_planner_v5,greedy_active_touch,fact_accuracy,0.05625,0.00558,10,10
hard_aggregate,grounding_debt_planner_v5,greedy_active_touch,debt_calibration_error,0.02626,0.00639,0,10
hard_aggregate,grounding_debt_planner_v5,greedy_active_touch,false_safe_confidence,0.00495,0.00740,3,10
hard_aggregate,grounding_debt_planner_v5,greedy_active_touch,abstain_rate,0.00000,0.00000,0,10
hard_aggregate,grounding_debt_planner_v5,strong_tactile_then_policy,action_success,0.17890,0.00749,10,10
hard_aggregate,grounding_debt_planner_v5,strong_tactile_then_policy,damage,-0.27604,0.00891,10,10
hard_aggregate,grounding_debt_planner_v5,strong_tactile_then_policy,probe_cost,-0.53353,0.00090,10,10
hard_aggregate,grounding_debt_planner_v5,strong_tactile_then_policy,fact_accuracy,-0.03585,0.00456,0,10
hard_aggregate,grounding_debt_planner_v5,strong_tactile_then_policy,debt_calibration_error,-0.04291,0.00433,10,10
hard_aggregate,grounding_debt_planner_v5,strong_tactile_then_policy,false_safe_confidence,0.03047,0.00505,0,10
hard_aggregate,grounding_debt_planner_v5,strong_tactile_then_policy,abstain_rate,0.00000,0.00000,0,10
hard_aggregate,grounding_debt_planner_v5,risk_aware_touch_policy,action_success,0.00963,0.01218,7,10
hard_aggregate,grounding_debt_planner_v5,risk_aware_touch_policy,damage,0.00078,0.00685,4,10
hard_aggregate,grounding_debt_planner_v5,risk_aware_touch_policy,probe_cost,0.03312,0.00082,0,10
hard_aggregate,grounding_debt_planner_v5,risk_aware_touch_policy,fact_accuracy,0.00746,0.00342,8,10
hard_aggregate,grounding_debt_planner_v5,risk_aware_touch_policy,debt_calibration_error,0.01739,0.00469,0,10
hard_aggregate,grounding_debt_planner_v5,risk_aware_touch_policy,false_safe_confidence,-0.01406,0.00266,10,10
hard_aggregate,grounding_debt_planner_v5,risk_aware_touch_policy,abstain_rate,0.00000,0.00000,0,10
hard_aggregate,grounding_debt_planner_v5,budgeted_information_gain,action_success,0.07630,0.01677,10,10
hard_aggregate,grounding_debt_planner_v5,budgeted_information_gain,damage,-0.12995,0.01221,10,10
hard_aggregate,grounding_debt_planner_v5,budgeted_information_gain,probe_cost,-0.01624,0.00129,10,10
hard_aggregate,grounding_debt_planner_v5,budgeted_information_gain,fact_accuracy,0.00061,0.00408,5,10
hard_aggregate,grounding_debt_planner_v5,budgeted_information_gain,debt_calibration_error,0.00916,0.00393,0,10
hard_aggregate,grounding_debt_planner_v5,budgeted_information_gain,false_safe_confidence,-0.01693,0.00845,10,10
hard_aggregate,grounding_debt_planner_v5,budgeted_information_gain,abstain_rate,0.00000,0.00000,0,10
hard_aggregate,grounding_debt_planner_v5,calibrated_debt_threshold,action_success,0.03203,0.01046,10,10
hard_aggregate,grounding_debt_planner_v5,calibrated_debt_threshold,damage,0.00599,0.00948,4,10
hard_aggregate,grounding_debt_planner_v5,calibrated_debt_threshold,probe_cost,0.04113,0.00125,0,10
hard_aggregate,grounding_debt_planner_v5,calibrated_debt_threshold,fact_accuracy,-0.00113,0.00251,4,10
hard_aggregate,grounding_debt_planner_v5,calibrated_debt_threshold,debt_calibration_error,-0.00387,0.00386,8,10
hard_aggregate,grounding_debt_planner_v5,calibrated_debt_threshold,false_safe_confidence,-0.00781,0.00365,9,10
hard_aggregate,grounding_debt_planner_v5,calibrated_debt_threshold,abstain_rate,-0.05625,0.00575,10,10
hard_aggregate,grounding_debt_planner_v5,counterfactual_material_filter,action_success,0.04297,0.00875,10,10
hard_aggregate,grounding_debt_planner_v5,counterfactual_material_filter,damage,-0.05469,0.00749,10,10
hard_aggregate,grounding_debt_planner_v5,counterfactual_material_filter,probe_cost,0.01688,0.00096,0,10
hard_aggregate,grounding_debt_planner_v5,counterfactual_material_filter,fact_accuracy,-0.00582,0.00280,0,10
hard_aggregate,grounding_debt_planner_v5,counterfactual_material_filter,debt_calibration_error,0.00839,0.00307,1,10
hard_aggregate,grounding_debt_planner_v5,counterfactual_material_filter,false_safe_confidence,-0.01380,0.00349,10,10
hard_aggregate,grounding_debt_planner_v5,counterfactual_material_filter,abstain_rate,0.00000,0.00000,0,10
