split,seed,episode_id,method,task,object_family,action_success,damage,slip_or_drop,param_error,probe_count,probe_cost,fact_accuracy,debt_score,debt_calibration_error,probes,failure_label,language_ambiguity,visual_counterfactual,tactile_noise,material_novelty,safety_critical,stress_axis,stress_level
stress_language,0,0,vision_language_policy,pick,oily_block,1,0,0,0.05064,0,0.00000,1.00000,0.23324,0.23324,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,0,greedy_active_touch,pick,oily_block,1,0,0,0.04124,2,0.29000,1.00000,0.18778,0.18778,soft;heavy,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,0,strong_tactile_then_policy,pick,oily_block,1,0,0,0.05762,6,0.79000,1.00000,0.31299,0.31299,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,0,grounding_debt_planner,pick,oily_block,1,0,0,0.13063,2,0.24000,1.00000,0.24787,0.24787,heavy;slippery,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,0,oracle_tactile_upper_bound,pick,oily_block,1,0,0,0.00721,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,1,vision_language_policy,pour,empty_cup,1,0,0,0.14508,0,0.00000,1.00000,0.31287,0.31287,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,1,greedy_active_touch,pour,empty_cup,1,0,0,0.14229,2,0.25000,1.00000,0.31287,0.31287,fragile;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,1,strong_tactile_then_policy,pour,empty_cup,1,0,0,0.08952,6,0.79000,1.00000,0.18438,0.18438,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,1,grounding_debt_planner,pour,empty_cup,1,0,0,0.10997,2,0.33000,1.00000,0.19350,0.19350,heavy;full,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,1,oracle_tactile_upper_bound,pour,empty_cup,1,0,0,0.01502,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,2,vision_language_policy,open,loose_lid_box,1,0,0,0.12594,0,0.00000,1.00000,0.45844,0.45844,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,2,greedy_active_touch,open,loose_lid_box,1,0,0,0.13419,2,0.33000,1.00000,0.45844,0.45844,full;heavy,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,2,strong_tactile_then_policy,open,loose_lid_box,1,0,0,0.12591,6,0.79000,1.00000,0.47601,0.47601,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,2,grounding_debt_planner,open,loose_lid_box,1,0,0,0.11378,2,0.28000,1.00000,0.49815,0.49815,locked;soft,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,2,oracle_tactile_upper_bound,open,loose_lid_box,1,0,0,0.01261,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,3,vision_language_policy,handoff,generic_part,1,0,0,0.11759,0,0.00000,1.00000,0.36173,0.36173,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,3,greedy_active_touch,handoff,generic_part,1,0,0,0.09397,2,0.23000,1.00000,0.32066,0.32066,soft;fragile,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,3,strong_tactile_then_policy,handoff,generic_part,1,0,0,0.08955,6,0.79000,1.00000,0.32254,0.32254,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,3,grounding_debt_planner,handoff,generic_part,1,0,0,0.11202,2,0.26000,1.00000,0.27856,0.27856,fragile;heavy,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,3,oracle_tactile_upper_bound,handoff,generic_part,1,0,0,0.00999,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,4,vision_language_policy,slide,oily_block,0,0,1,0.17277,0,0.00000,0.33333,0.48293,0.18374,none,slip_or_drop,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,4,greedy_active_touch,slide,oily_block,0,0,1,0.25093,2,0.31000,0.33333,0.32178,0.34489,heavy;locked,slip_or_drop,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,4,strong_tactile_then_policy,slide,oily_block,1,0,0,0.13797,6,0.79000,1.00000,0.66779,0.66779,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,4,grounding_debt_planner,slide,oily_block,1,0,0,0.13562,2,0.21000,1.00000,0.72328,0.72328,slippery;soft,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,4,oracle_tactile_upper_bound,slide,oily_block,1,0,0,0.00866,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,5,vision_language_policy,insert,rigid_insert,1,0,0,0.21533,0,0.00000,0.66667,0.65178,0.31845,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,5,greedy_active_touch,insert,rigid_insert,0,1,0,0.18725,2,0.30000,1.00000,0.55985,0.55985,soft;full,damage_or_probe_damage,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,5,strong_tactile_then_policy,insert,rigid_insert,0,1,0,0.12522,6,0.79000,1.00000,0.48189,0.48189,fragile;slippery;heavy;full;soft;locked,damage_or_probe_damage,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,5,grounding_debt_planner,insert,rigid_insert,1,0,0,0.15618,2,0.21000,1.00000,0.43918,0.43918,soft;slippery,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,5,oracle_tactile_upper_bound,insert,rigid_insert,1,0,0,0.01446,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,6,vision_language_policy,pick,thin_shell,1,0,0,0.11635,0,0.00000,1.00000,0.39500,0.39500,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,6,greedy_active_touch,pick,thin_shell,1,0,0,0.06422,2,0.25000,1.00000,0.23519,0.23519,fragile;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,6,strong_tactile_then_policy,pick,thin_shell,0,1,0,0.04908,6,0.79000,1.00000,0.28704,0.28704,fragile;slippery;heavy;full;soft;locked,damage_or_probe_damage,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,6,grounding_debt_planner,pick,thin_shell,1,0,0,0.10464,1,0.10000,1.00000,0.23519,0.23519,fragile,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,6,oracle_tactile_upper_bound,pick,thin_shell,1,0,0,0.00671,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,7,vision_language_policy,pour,opaque_cup,1,0,0,0.06203,0,0.00000,1.00000,0.32580,0.32580,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,7,greedy_active_touch,pour,opaque_cup,1,0,0,0.04660,2,0.30000,1.00000,0.39584,0.39584,full;soft,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,7,strong_tactile_then_policy,pour,opaque_cup,1,0,0,0.05788,6,0.79000,1.00000,0.43905,0.43905,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,7,grounding_debt_planner,pour,opaque_cup,1,0,0,0.07390,1,0.17000,1.00000,0.39584,0.39584,full,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,7,oracle_tactile_upper_bound,pour,opaque_cup,1,0,0,0.00766,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,8,vision_language_policy,open,loose_lid_box,0,0,0,0.30971,0,0.00000,0.66667,0.50128,0.16794,none,wrong_action_parameter,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,8,greedy_active_touch,open,loose_lid_box,1,0,0,0.19559,2,0.27000,1.00000,0.39187,0.39187,fragile;full,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,8,strong_tactile_then_policy,open,loose_lid_box,1,0,0,0.15412,6,0.79000,1.00000,0.35959,0.35959,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,8,grounding_debt_planner,open,loose_lid_box,1,0,0,0.17875,2,0.25000,1.00000,0.31644,0.31644,fragile;locked,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,8,oracle_tactile_upper_bound,open,loose_lid_box,1,0,0,0.01704,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
stress_language,0,9,vision_language_policy,handoff,thin_shell,0,1,0,0.28880,0,0.00000,1.00000,0.59560,0.59560,none,damage_or_probe_damage,0.08000,0.10000,0.10000,0.06000,0.20000,language,0.0
