split,ablation,action_success,ci95_success,damage,probe_cost,fact_accuracy,false_safe_confidence,abstain_rate,rows
combined_hard_shift,grounding_debt_v5_full,0.42188,0.04496,0.30000,0.19728,0.74375,0.01875,0.00000,320
combined_hard_shift,no_debt_estimator,0.42500,0.04104,0.29063,0.19078,0.69063,0.01875,0.00000,320
combined_hard_shift,no_active_probe_selection,0.44375,0.04900,0.26562,0.24000,0.70625,0.01562,0.00000,320
combined_hard_shift,no_tactile_belief_update,0.32500,0.04492,0.32500,0.19728,0.57604,0.01562,0.00000,320
combined_hard_shift,no_language_vision_conflict_detector,0.43125,0.04547,0.29688,0.19734,0.73854,0.01875,0.00000,320
combined_hard_shift,no_safety_gate,0.44375,0.05463,0.33125,0.20878,0.74896,0.01875,0.00000,320
combined_hard_shift,no_probe_cost_regularizer,0.26562,0.03681,0.58437,0.42516,0.79063,0.01562,0.00000,320
combined_hard_shift,no_calibration,0.42188,0.04496,0.30000,0.19728,0.74375,0.42812,0.00000,320
combined_hard_shift,no_counterfactual_material_filter,0.42500,0.04762,0.30000,0.19706,0.74167,0.01875,0.00000,320
combined_hard_shift,oracle_handoff,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,320
adversarial_language_vision_trap,grounding_debt_v5_full,0.41563,0.04660,0.30000,0.19300,0.68854,0.01250,0.00000,320
adversarial_language_vision_trap,no_debt_estimator,0.36250,0.02615,0.30312,0.18913,0.60729,0.01250,0.00000,320
adversarial_language_vision_trap,no_active_probe_selection,0.36562,0.03879,0.29063,0.24000,0.62188,0.00937,0.00000,320
adversarial_language_vision_trap,no_tactile_belief_update,0.20938,0.02895,0.34687,0.19300,0.38646,0.00000,0.00000,320
adversarial_language_vision_trap,no_language_vision_conflict_detector,0.42500,0.05417,0.31250,0.19325,0.68021,0.01250,0.00000,320
adversarial_language_vision_trap,no_safety_gate,0.40625,0.03874,0.33437,0.20928,0.69896,0.01250,0.00000,320
adversarial_language_vision_trap,no_probe_cost_regularizer,0.24063,0.03170,0.62187,0.42085,0.79375,0.00313,0.00000,320
adversarial_language_vision_trap,no_calibration,0.41563,0.04660,0.30000,0.19300,0.68854,0.47187,0.00000,320
adversarial_language_vision_trap,no_counterfactual_material_filter,0.41563,0.04836,0.30938,0.19322,0.68646,0.01250,0.00000,320
adversarial_language_vision_trap,oracle_handoff,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,320
