split,risk_budget,target,reference,fixed_risk_success_diff,fixed_risk_success_ci95,false_safe_diff,false_safe_ci95,target_better_seeds,seeds
combined_hard_shift,0.00,grounding_debt_planner_v5,passive_tactile_classifier,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.00,grounding_debt_planner_v5,strong_tactile_then_policy,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.00,grounding_debt_planner_v5,risk_aware_touch_policy,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.00,grounding_debt_planner_v5,calibrated_debt_threshold,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.00,grounding_debt_planner_v5,counterfactual_material_filter,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,grounding_debt_planner_v5,passive_tactile_classifier,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,grounding_debt_planner_v5,strong_tactile_then_policy,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,grounding_debt_planner_v5,risk_aware_touch_policy,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,grounding_debt_planner_v5,calibrated_debt_threshold,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.02,grounding_debt_planner_v5,counterfactual_material_filter,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,grounding_debt_planner_v5,passive_tactile_classifier,0.00313,0.00612,-0.00313,0.00612,1,10
combined_hard_shift,0.05,grounding_debt_planner_v5,strong_tactile_then_policy,0.00313,0.00612,0.00000,0.00000,1,10
combined_hard_shift,0.05,grounding_debt_planner_v5,risk_aware_touch_policy,0.00000,0.00000,-0.00313,0.00612,0,10
combined_hard_shift,0.05,grounding_debt_planner_v5,calibrated_debt_threshold,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.05,grounding_debt_planner_v5,counterfactual_material_filter,0.00000,0.00000,0.00000,0.00000,0,10
combined_hard_shift,0.10,grounding_debt_planner_v5,passive_tactile_classifier,0.01250,0.01633,0.00000,0.01581,6,10
combined_hard_shift,0.10,grounding_debt_planner_v5,strong_tactile_then_policy,0.02500,0.01225,0.00625,0.01225,7,10
combined_hard_shift,0.10,grounding_debt_planner_v5,risk_aware_touch_policy,0.00000,0.01291,-0.01250,0.01000,2,10
combined_hard_shift,0.10,grounding_debt_planner_v5,calibrated_debt_threshold,0.00000,0.00000,-0.00625,0.00817,0,10
combined_hard_shift,0.10,grounding_debt_planner_v5,counterfactual_material_filter,0.00000,0.00913,-0.00937,0.00936,1,10
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,passive_tactile_classifier,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,strong_tactile_then_policy,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,risk_aware_touch_policy,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,calibrated_debt_threshold,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.00,grounding_debt_planner_v5,counterfactual_material_filter,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,passive_tactile_classifier,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,strong_tactile_then_policy,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,risk_aware_touch_policy,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,calibrated_debt_threshold,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.02,grounding_debt_planner_v5,counterfactual_material_filter,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,passive_tactile_classifier,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,strong_tactile_then_policy,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,risk_aware_touch_policy,0.00000,0.00000,-0.00313,0.00612,0,10
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,calibrated_debt_threshold,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.05,grounding_debt_planner_v5,counterfactual_material_filter,0.00000,0.00000,0.00000,0.00000,0,10
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,passive_tactile_classifier,0.00625,0.01225,0.00000,0.01581,3,10
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,strong_tactile_then_policy,0.00937,0.00936,0.00625,0.01225,3,10
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,risk_aware_touch_policy,-0.01250,0.01354,-0.01562,0.01370,0,10
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,calibrated_debt_threshold,0.00000,0.00000,0.00000,0.00913,0,10
adversarial_language_vision_trap,0.10,grounding_debt_planner_v5,counterfactual_material_filter,0.00000,0.00000,0.00000,0.00913,0,10
