split,seed,episode_id,method,task,object_family,action_success,damage,slip_or_drop,param_error,probe_count,probe_cost,fact_accuracy,debt_score,debt_calibration_error,confidence,false_safe_confidence,abstain,probes,failure_label,language_ambiguity,visual_counterfactual,tactile_noise,material_novelty,safety_critical,probe_budget_pressure,adversarial_trap,ablation
combined_hard_shift,0,0,grounding_debt_planner_v5,pick,ceramic_tool,1,0,0,0.13654,2,0.18000,1.00000,0.58633,0.58633,0.61703,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,grounding_debt_v5_full
combined_hard_shift,0,0,no_debt_estimator,pick,ceramic_tool,1,0,0,0.13654,2,0.18000,1.00000,0.58633,0.58633,0.61703,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,no_debt_estimator
combined_hard_shift,0,0,no_active_probe_selection,pick,ceramic_tool,1,0,0,0.05992,2,0.24000,1.00000,0.11020,0.11020,0.84350,0,0,slippery;heavy,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,no_active_probe_selection
combined_hard_shift,0,0,no_tactile_belief_update,pick,ceramic_tool,0,0,1,0.30195,2,0.18000,0.66667,0.59223,0.25890,0.61396,0,0,slippery;fragile,slip_or_drop,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,no_tactile_belief_update
combined_hard_shift,0,0,no_language_vision_conflict_detector,pick,ceramic_tool,1,0,0,0.13654,2,0.18000,1.00000,0.58633,0.58633,0.61703,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,no_language_vision_conflict_detector
combined_hard_shift,0,0,no_safety_gate,pick,ceramic_tool,1,0,0,0.10788,2,0.18000,1.00000,0.58633,0.58633,0.61703,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,no_safety_gate
combined_hard_shift,0,0,no_probe_cost_regularizer,pick,ceramic_tool,1,0,0,0.13654,2,0.18000,1.00000,0.58633,0.58633,0.61703,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,no_probe_cost_regularizer
combined_hard_shift,0,0,no_calibration,pick,ceramic_tool,1,0,0,0.13654,2,0.18000,1.00000,0.58633,0.58633,0.82403,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,no_calibration
combined_hard_shift,0,0,no_counterfactual_material_filter,pick,ceramic_tool,1,0,0,0.13654,2,0.18000,1.00000,0.58633,0.58633,0.61703,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,no_counterfactual_material_filter
combined_hard_shift,0,0,oracle_handoff,pick,ceramic_tool,1,0,0,0.00859,0,0.00000,1.00000,0.04000,0.04000,0.94058,0,0,none,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,oracle_handoff
