split,risk_budget,method,metric,mean,ci95,seeds,episodes_per_seed
combined_hard_shift,0.00,passive_tactile_classifier,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.00,passive_tactile_classifier,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.00,passive_tactile_classifier,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.00,passive_tactile_classifier,action_success,0.40937,0.06355,10,32
combined_hard_shift,0.00,strong_tactile_then_policy,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.00,strong_tactile_then_policy,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.00,strong_tactile_then_policy,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.00,strong_tactile_then_policy,action_success,0.22500,0.04263,10,32
combined_hard_shift,0.00,risk_aware_touch_policy,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.00,risk_aware_touch_policy,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.00,risk_aware_touch_policy,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.00,risk_aware_touch_policy,action_success,0.42188,0.05104,10,32
combined_hard_shift,0.00,calibrated_debt_threshold,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.00,calibrated_debt_threshold,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.00,calibrated_debt_threshold,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.00,calibrated_debt_threshold,action_success,0.35625,0.03787,10,32
combined_hard_shift,0.00,counterfactual_material_filter,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.00,counterfactual_material_filter,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.00,counterfactual_material_filter,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.00,counterfactual_material_filter,action_success,0.40937,0.05359,10,32
combined_hard_shift,0.00,grounding_debt_planner_v5,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.00,grounding_debt_planner_v5,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.00,grounding_debt_planner_v5,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.00,grounding_debt_planner_v5,action_success,0.42188,0.04496,10,32
combined_hard_shift,0.02,passive_tactile_classifier,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.02,passive_tactile_classifier,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.02,passive_tactile_classifier,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.02,passive_tactile_classifier,action_success,0.40937,0.06355,10,32
combined_hard_shift,0.02,strong_tactile_then_policy,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.02,strong_tactile_then_policy,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.02,strong_tactile_then_policy,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.02,strong_tactile_then_policy,action_success,0.22500,0.04263,10,32
combined_hard_shift,0.02,risk_aware_touch_policy,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.02,risk_aware_touch_policy,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.02,risk_aware_touch_policy,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.02,risk_aware_touch_policy,action_success,0.42188,0.05104,10,32
combined_hard_shift,0.02,calibrated_debt_threshold,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.02,calibrated_debt_threshold,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.02,calibrated_debt_threshold,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.02,calibrated_debt_threshold,action_success,0.35625,0.03787,10,32
combined_hard_shift,0.02,counterfactual_material_filter,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.02,counterfactual_material_filter,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.02,counterfactual_material_filter,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.02,counterfactual_material_filter,action_success,0.40937,0.05359,10,32
combined_hard_shift,0.02,grounding_debt_planner_v5,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.02,grounding_debt_planner_v5,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.02,grounding_debt_planner_v5,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.02,grounding_debt_planner_v5,action_success,0.42188,0.04496,10,32
combined_hard_shift,0.05,passive_tactile_classifier,coverage,0.00313,0.00612,10,32
combined_hard_shift,0.05,passive_tactile_classifier,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.05,passive_tactile_classifier,false_safe_rate,0.00313,0.00612,10,32
combined_hard_shift,0.05,passive_tactile_classifier,action_success,0.40937,0.06355,10,32
combined_hard_shift,0.05,strong_tactile_then_policy,coverage,0.00000,0.00000,10,32
combined_hard_shift,0.05,strong_tactile_then_policy,fixed_risk_success,0.00000,0.00000,10,32
combined_hard_shift,0.05,strong_tactile_then_policy,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.05,strong_tactile_then_policy,action_success,0.22500,0.04263,10,32
combined_hard_shift,0.05,risk_aware_touch_policy,coverage,0.00625,0.00817,10,32
combined_hard_shift,0.05,risk_aware_touch_policy,fixed_risk_success,0.00313,0.00612,10,32
combined_hard_shift,0.05,risk_aware_touch_policy,false_safe_rate,0.00313,0.00612,10,32
combined_hard_shift,0.05,risk_aware_touch_policy,action_success,0.42188,0.05104,10,32
combined_hard_shift,0.05,calibrated_debt_threshold,coverage,0.00313,0.00612,10,32
combined_hard_shift,0.05,calibrated_debt_threshold,fixed_risk_success,0.00313,0.00612,10,32
combined_hard_shift,0.05,calibrated_debt_threshold,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.05,calibrated_debt_threshold,action_success,0.35625,0.03787,10,32
combined_hard_shift,0.05,counterfactual_material_filter,coverage,0.00313,0.00612,10,32
combined_hard_shift,0.05,counterfactual_material_filter,fixed_risk_success,0.00313,0.00612,10,32
combined_hard_shift,0.05,counterfactual_material_filter,false_safe_rate,0.00000,0.00000,10,32
combined_hard_shift,0.05,counterfactual_material_filter,action_success,0.40937,0.05359,10,32
