split,seed,episode_id,method,task,object_family,action_success,damage,slip_or_drop,param_error,probe_count,probe_cost,fact_accuracy,debt_score,debt_calibration_error,probes,failure_label,language_ambiguity,visual_counterfactual,tactile_noise,material_novelty,safety_critical
seen_clean,0,0,language_prior_policy,pick,oily_block,1,0,0,0.11067,0,0.00000,1.00000,0.29461,0.29461,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,0,vision_language_policy,pick,oily_block,1,0,0,0.21117,0,0.00000,0.66667,0.43145,0.09812,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,0,uncertainty_threshold_policy,pick,oily_block,1,0,0,0.21117,0,0.00000,0.66667,0.43145,0.09812,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,0,passive_tactile_classifier,pick,oily_block,1,0,0,0.20371,2,0.24000,0.66667,0.47173,0.13840,slippery;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,0,greedy_active_touch,pick,oily_block,1,0,0,0.09218,2,0.23000,1.00000,0.37717,0.37717,fragile;soft,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,0,strong_tactile_then_policy,pick,oily_block,1,0,0,0.09235,6,0.79000,1.00000,0.44629,0.44629,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,0,grounding_debt_planner,pick,oily_block,1,0,0,0.20033,2,0.26000,1.00000,0.41281,0.41281,fragile;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,0,oracle_tactile_upper_bound,pick,oily_block,1,0,0,0.00721,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,1,language_prior_policy,pour,empty_cup,1,0,0,0.20064,0,0.00000,1.00000,0.32025,0.32025,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,1,vision_language_policy,pour,empty_cup,1,0,0,0.12274,0,0.00000,1.00000,0.17236,0.17236,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,1,uncertainty_threshold_policy,pour,empty_cup,1,0,0,0.12274,0,0.00000,1.00000,0.17236,0.17236,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,1,passive_tactile_classifier,pour,empty_cup,1,0,0,0.12808,2,0.24000,1.00000,0.18937,0.18937,slippery;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,1,greedy_active_touch,pour,empty_cup,1,0,0,0.08731,2,0.28000,1.00000,0.17236,0.17236,locked;soft,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,1,strong_tactile_then_policy,pour,empty_cup,1,0,0,0.09638,6,0.79000,1.00000,0.20162,0.20162,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,1,grounding_debt_planner,pour,empty_cup,1,0,0,0.12629,2,0.25000,1.00000,0.17894,0.17894,full;slippery,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,1,oracle_tactile_upper_bound,pour,empty_cup,1,0,0,0.01502,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,2,language_prior_policy,open,latched_box,1,0,0,0.28006,0,0.00000,1.00000,0.34995,0.34995,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,2,vision_language_policy,open,latched_box,1,0,0,0.16631,0,0.00000,1.00000,0.32963,0.32963,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,2,uncertainty_threshold_policy,open,latched_box,1,0,0,0.16631,0,0.00000,1.00000,0.32963,0.32963,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,2,passive_tactile_classifier,open,latched_box,1,0,0,0.10327,2,0.24000,1.00000,0.32963,0.32963,slippery;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,2,greedy_active_touch,open,latched_box,1,0,0,0.09871,2,0.24000,1.00000,0.32963,0.32963,heavy;slippery,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,2,strong_tactile_then_policy,open,latched_box,1,0,0,0.08147,6,0.79000,1.00000,0.22261,0.22261,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,2,grounding_debt_planner,open,latched_box,1,0,0,0.15675,2,0.28000,1.00000,0.25013,0.25013,soft;locked,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,2,oracle_tactile_upper_bound,open,latched_box,1,0,0,0.01303,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,3,language_prior_policy,handoff,ceramic_tool,1,0,0,0.13780,0,0.00000,1.00000,0.34543,0.34543,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,3,vision_language_policy,handoff,ceramic_tool,1,0,0,0.10901,0,0.00000,1.00000,0.32581,0.32581,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,3,uncertainty_threshold_policy,handoff,ceramic_tool,1,0,0,0.10901,0,0.00000,1.00000,0.32581,0.32581,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,3,passive_tactile_classifier,handoff,ceramic_tool,1,0,0,0.12815,2,0.24000,1.00000,0.37719,0.37719,slippery;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,3,greedy_active_touch,handoff,ceramic_tool,1,0,0,0.10169,2,0.23000,1.00000,0.28435,0.28435,soft;fragile,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,3,strong_tactile_then_policy,handoff,ceramic_tool,0,1,0,0.12989,6,0.79000,1.00000,0.34479,0.34479,fragile;slippery;heavy;full;soft;locked,damage_or_probe_damage,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,3,grounding_debt_planner,handoff,ceramic_tool,1,0,0,0.10735,2,0.18000,1.00000,0.29588,0.29588,fragile;slippery,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,3,oracle_tactile_upper_bound,handoff,ceramic_tool,1,0,0,0.01479,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,4,language_prior_policy,slide,generic_part,1,0,0,0.18202,0,0.00000,1.00000,0.59590,0.59590,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,4,vision_language_policy,slide,generic_part,1,0,0,0.12882,0,0.00000,1.00000,0.34211,0.34211,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,4,uncertainty_threshold_policy,slide,generic_part,1,0,0,0.12882,0,0.00000,1.00000,0.34211,0.34211,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,4,passive_tactile_classifier,slide,generic_part,1,0,0,0.13241,2,0.24000,1.00000,0.34558,0.34558,slippery;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,4,greedy_active_touch,slide,generic_part,1,0,0,0.09086,2,0.23000,1.00000,0.30135,0.30135,fragile;soft,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,4,strong_tactile_then_policy,slide,generic_part,1,0,0,0.08421,6,0.79000,1.00000,0.31054,0.31054,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,4,grounding_debt_planner,slide,generic_part,1,0,0,0.12309,2,0.29000,1.00000,0.28789,0.28789,soft;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,4,oracle_tactile_upper_bound,slide,generic_part,1,0,0,0.01306,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,5,language_prior_policy,insert,rigid_insert,1,0,0,0.18250,0,0.00000,1.00000,0.50426,0.50426,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,5,vision_language_policy,insert,rigid_insert,1,0,0,0.08651,0,0.00000,1.00000,0.31846,0.31846,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,5,uncertainty_threshold_policy,insert,rigid_insert,1,0,0,0.08651,0,0.00000,1.00000,0.31846,0.31846,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,5,passive_tactile_classifier,insert,rigid_insert,1,0,0,0.07821,2,0.24000,1.00000,0.29756,0.29756,slippery;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,5,greedy_active_touch,insert,rigid_insert,0,1,0,0.06835,2,0.32000,1.00000,0.31846,0.31846,locked;full,damage_or_probe_damage,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,5,strong_tactile_then_policy,insert,rigid_insert,0,1,0,0.06815,6,0.79000,1.00000,0.24594,0.24594,fragile;slippery;heavy;full;soft;locked,damage_or_probe_damage,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,5,grounding_debt_planner,insert,rigid_insert,1,0,0,0.04647,2,0.21000,1.00000,0.25806,0.25806,slippery;soft,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,5,oracle_tactile_upper_bound,insert,rigid_insert,1,0,0,0.00814,0,0.00000,1.00000,0.04000,0.04000,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,6,language_prior_policy,pick,generic_part,1,0,0,0.13964,0,0.00000,1.00000,0.37532,0.37532,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,6,vision_language_policy,pick,generic_part,1,0,0,0.12963,0,0.00000,1.00000,0.32974,0.32974,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,6,uncertainty_threshold_policy,pick,generic_part,1,0,0,0.12963,0,0.00000,1.00000,0.32974,0.32974,none,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,6,passive_tactile_classifier,pick,generic_part,1,0,0,0.13839,2,0.24000,1.00000,0.36604,0.36604,slippery;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,6,greedy_active_touch,pick,generic_part,1,0,0,0.11013,2,0.30000,1.00000,0.32974,0.32974,soft;full,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,6,strong_tactile_then_policy,pick,generic_part,1,0,0,0.10612,6,0.79000,1.00000,0.28117,0.28117,fragile;slippery;heavy;full;soft;locked,success,0.08000,0.05000,0.08000,0.03000,0.10000
seen_clean,0,6,grounding_debt_planner,pick,generic_part,1,0,0,0.10336,2,0.26000,1.00000,0.22972,0.22972,fragile;heavy,success,0.08000,0.05000,0.08000,0.03000,0.10000
