split,ablation,seed,episodes,action_success,damage,probe_cost,fact_accuracy,false_safe_confidence,abstain_rate
combined_hard_shift,grounding_debt_v5_full,0,32,0.34375,0.37500,0.20844,0.73958,0.00000,0.00000
combined_hard_shift,grounding_debt_v5_full,1,32,0.37500,0.25000,0.19750,0.77083,0.03125,0.00000
combined_hard_shift,grounding_debt_v5_full,2,32,0.37500,0.37500,0.19656,0.76042,0.00000,0.00000
combined_hard_shift,grounding_debt_v5_full,3,32,0.56250,0.25000,0.19312,0.68750,0.00000,0.00000
combined_hard_shift,grounding_debt_v5_full,4,32,0.37500,0.28125,0.19125,0.78125,0.00000,0.00000
combined_hard_shift,grounding_debt_v5_full,5,32,0.50000,0.34375,0.18344,0.69792,0.00000,0.00000
combined_hard_shift,grounding_debt_v5_full,6,32,0.46875,0.21875,0.20531,0.79167,0.00000,0.00000
combined_hard_shift,grounding_debt_v5_full,7,32,0.46875,0.28125,0.21000,0.70833,0.03125,0.00000
combined_hard_shift,grounding_debt_v5_full,8,32,0.37500,0.37500,0.18719,0.73958,0.09375,0.00000
combined_hard_shift,grounding_debt_v5_full,9,32,0.37500,0.25000,0.20000,0.76042,0.03125,0.00000
combined_hard_shift,no_debt_estimator,0,32,0.40625,0.31250,0.19188,0.67709,0.00000,0.00000
combined_hard_shift,no_debt_estimator,1,32,0.40625,0.25000,0.19562,0.69792,0.00000,0.00000
combined_hard_shift,no_debt_estimator,2,32,0.37500,0.34375,0.18250,0.71875,0.00000,0.00000
combined_hard_shift,no_debt_estimator,3,32,0.56250,0.28125,0.18844,0.64583,0.00000,0.00000
combined_hard_shift,no_debt_estimator,4,32,0.31250,0.31250,0.19500,0.69792,0.03125,0.00000
combined_hard_shift,no_debt_estimator,5,32,0.40625,0.37500,0.18844,0.63542,0.00000,0.00000
combined_hard_shift,no_debt_estimator,6,32,0.46875,0.15625,0.19562,0.75000,0.03125,0.00000
combined_hard_shift,no_debt_estimator,7,32,0.46875,0.28125,0.19063,0.68750,0.03125,0.00000
combined_hard_shift,no_debt_estimator,8,32,0.43750,0.34375,0.18844,0.69792,0.06250,0.00000
combined_hard_shift,no_debt_estimator,9,32,0.40625,0.25000,0.19125,0.69792,0.03125,0.00000
combined_hard_shift,no_active_probe_selection,0,32,0.37500,0.34375,0.24000,0.77083,0.03125,0.00000
combined_hard_shift,no_active_probe_selection,1,32,0.56250,0.21875,0.24000,0.73958,0.00000,0.00000
combined_hard_shift,no_active_probe_selection,2,32,0.34375,0.40625,0.24000,0.68750,0.00000,0.00000
combined_hard_shift,no_active_probe_selection,3,32,0.40625,0.28125,0.24000,0.64583,0.00000,0.00000
combined_hard_shift,no_active_probe_selection,4,32,0.40625,0.21875,0.24000,0.70833,0.03125,0.00000
combined_hard_shift,no_active_probe_selection,5,32,0.56250,0.21875,0.24000,0.69792,0.03125,0.00000
combined_hard_shift,no_active_probe_selection,6,32,0.53125,0.15625,0.24000,0.72917,0.00000,0.00000
combined_hard_shift,no_active_probe_selection,7,32,0.40625,0.28125,0.24000,0.64583,0.03125,0.00000
combined_hard_shift,no_active_probe_selection,8,32,0.40625,0.31250,0.24000,0.72917,0.00000,0.00000
combined_hard_shift,no_active_probe_selection,9,32,0.43750,0.21875,0.24000,0.70833,0.03125,0.00000
combined_hard_shift,no_tactile_belief_update,0,32,0.25000,0.40625,0.20844,0.59375,0.00000,0.00000
combined_hard_shift,no_tactile_belief_update,1,32,0.40625,0.21875,0.19750,0.55208,0.00000,0.00000
combined_hard_shift,no_tactile_belief_update,2,32,0.21875,0.43750,0.19656,0.56250,0.00000,0.00000
combined_hard_shift,no_tactile_belief_update,3,32,0.31250,0.34375,0.19312,0.52083,0.00000,0.00000
combined_hard_shift,no_tactile_belief_update,4,32,0.34375,0.28125,0.19125,0.58333,0.00000,0.00000
combined_hard_shift,no_tactile_belief_update,5,32,0.46875,0.34375,0.18344,0.56250,0.00000,0.00000
combined_hard_shift,no_tactile_belief_update,6,32,0.31250,0.25000,0.20531,0.62500,0.06250,0.00000
combined_hard_shift,no_tactile_belief_update,7,32,0.34375,0.31250,0.21000,0.55208,0.03125,0.00000
combined_hard_shift,no_tactile_belief_update,8,32,0.28125,0.37500,0.18719,0.61458,0.06250,0.00000
combined_hard_shift,no_tactile_belief_update,9,32,0.31250,0.28125,0.20000,0.59375,0.00000,0.00000
combined_hard_shift,no_language_vision_conflict_detector,0,32,0.34375,0.37500,0.20781,0.71875,0.00000,0.00000
combined_hard_shift,no_language_vision_conflict_detector,1,32,0.37500,0.25000,0.19875,0.77083,0.03125,0.00000
combined_hard_shift,no_language_vision_conflict_detector,2,32,0.40625,0.37500,0.19625,0.77083,0.00000,0.00000
combined_hard_shift,no_language_vision_conflict_detector,3,32,0.56250,0.25000,0.19312,0.70833,0.00000,0.00000
combined_hard_shift,no_language_vision_conflict_detector,4,32,0.37500,0.28125,0.19125,0.77084,0.00000,0.00000
combined_hard_shift,no_language_vision_conflict_detector,5,32,0.53125,0.34375,0.18031,0.68750,0.00000,0.00000
combined_hard_shift,no_language_vision_conflict_detector,6,32,0.46875,0.18750,0.20656,0.77083,0.00000,0.00000
combined_hard_shift,no_language_vision_conflict_detector,7,32,0.46875,0.28125,0.21125,0.71875,0.03125,0.00000
combined_hard_shift,no_language_vision_conflict_detector,8,32,0.37500,0.37500,0.18719,0.69792,0.09375,0.00000
combined_hard_shift,no_language_vision_conflict_detector,9,32,0.40625,0.25000,0.20094,0.77083,0.03125,0.00000
combined_hard_shift,no_safety_gate,0,32,0.37500,0.37500,0.20844,0.73958,0.00000,0.00000
combined_hard_shift,no_safety_gate,1,32,0.40625,0.31250,0.20656,0.77083,0.03125,0.00000
combined_hard_shift,no_safety_gate,2,32,0.31250,0.46875,0.21125,0.76042,0.03125,0.00000
combined_hard_shift,no_safety_gate,3,32,0.56250,0.25000,0.20656,0.68750,0.00000,0.00000
combined_hard_shift,no_safety_gate,4,32,0.37500,0.28125,0.20844,0.79167,0.03125,0.00000
combined_hard_shift,no_safety_gate,5,32,0.46875,0.43750,0.20906,0.70833,0.00000,0.00000
combined_hard_shift,no_safety_gate,6,32,0.59375,0.21875,0.21125,0.80208,0.00000,0.00000
combined_hard_shift,no_safety_gate,7,32,0.50000,0.28125,0.21063,0.70833,0.03125,0.00000
combined_hard_shift,no_safety_gate,8,32,0.40625,0.37500,0.20750,0.75000,0.03125,0.00000
combined_hard_shift,no_safety_gate,9,32,0.43750,0.31250,0.20813,0.77083,0.03125,0.00000
combined_hard_shift,no_probe_cost_regularizer,0,32,0.21875,0.68750,0.42625,0.76042,0.00000,0.00000
combined_hard_shift,no_probe_cost_regularizer,1,32,0.25000,0.50000,0.39281,0.78125,0.00000,0.00000
combined_hard_shift,no_probe_cost_regularizer,2,32,0.31250,0.56250,0.41469,0.82292,0.00000,0.00000
combined_hard_shift,no_probe_cost_regularizer,3,32,0.28125,0.62500,0.42344,0.77083,0.00000,0.00000
combined_hard_shift,no_probe_cost_regularizer,4,32,0.15625,0.56250,0.40563,0.82292,0.00000,0.00000
combined_hard_shift,no_probe_cost_regularizer,5,32,0.34375,0.56250,0.39875,0.72917,0.03125,0.00000
combined_hard_shift,no_probe_cost_regularizer,6,32,0.34375,0.40625,0.46594,0.81250,0.00000,0.00000
combined_hard_shift,no_probe_cost_regularizer,7,32,0.21875,0.65625,0.47687,0.81250,0.03125,0.00000
combined_hard_shift,no_probe_cost_regularizer,8,32,0.25000,0.68750,0.42938,0.79167,0.06250,0.00000
combined_hard_shift,no_probe_cost_regularizer,9,32,0.28125,0.59375,0.41781,0.80208,0.03125,0.00000
combined_hard_shift,no_calibration,0,32,0.34375,0.37500,0.20844,0.73958,0.46875,0.00000
combined_hard_shift,no_calibration,1,32,0.37500,0.25000,0.19750,0.77083,0.34375,0.00000
combined_hard_shift,no_calibration,2,32,0.37500,0.37500,0.19656,0.76042,0.53125,0.00000
combined_hard_shift,no_calibration,3,32,0.56250,0.25000,0.19312,0.68750,0.25000,0.00000
combined_hard_shift,no_calibration,4,32,0.37500,0.28125,0.19125,0.78125,0.46875,0.00000
combined_hard_shift,no_calibration,5,32,0.50000,0.34375,0.18344,0.69792,0.46875,0.00000
combined_hard_shift,no_calibration,6,32,0.46875,0.21875,0.20531,0.79167,0.46875,0.00000
combined_hard_shift,no_calibration,7,32,0.46875,0.28125,0.21000,0.70833,0.31250,0.00000
combined_hard_shift,no_calibration,8,32,0.37500,0.37500,0.18719,0.73958,0.50000,0.00000
combined_hard_shift,no_calibration,9,32,0.37500,0.25000,0.20000,0.76042,0.46875,0.00000
combined_hard_shift,no_counterfactual_material_filter,0,32,0.34375,0.37500,0.20844,0.73958,0.00000,0.00000
combined_hard_shift,no_counterfactual_material_filter,1,32,0.37500,0.25000,0.19750,0.77083,0.03125,0.00000
combined_hard_shift,no_counterfactual_material_filter,2,32,0.37500,0.37500,0.19656,0.76042,0.00000,0.00000
combined_hard_shift,no_counterfactual_material_filter,3,32,0.56250,0.25000,0.19312,0.68750,0.00000,0.00000
combined_hard_shift,no_counterfactual_material_filter,4,32,0.37500,0.28125,0.19187,0.77084,0.00000,0.00000
combined_hard_shift,no_counterfactual_material_filter,5,32,0.53125,0.34375,0.18062,0.68750,0.00000,0.00000
combined_hard_shift,no_counterfactual_material_filter,6,32,0.46875,0.21875,0.20531,0.79167,0.00000,0.00000
combined_hard_shift,no_counterfactual_material_filter,7,32,0.46875,0.28125,0.21000,0.70833,0.03125,0.00000
combined_hard_shift,no_counterfactual_material_filter,8,32,0.37500,0.37500,0.18719,0.73958,0.09375,0.00000
combined_hard_shift,no_counterfactual_material_filter,9,32,0.37500,0.25000,0.20000,0.76042,0.03125,0.00000
combined_hard_shift,oracle_handoff,0,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,1,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,2,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,3,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,4,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,5,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,6,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,7,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,8,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
combined_hard_shift,oracle_handoff,9,32,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,0,32,0.59375,0.18750,0.19250,0.68750,0.00000,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,1,32,0.43750,0.37500,0.18688,0.67708,0.06250,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,2,32,0.31250,0.37500,0.20094,0.67708,0.03125,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,3,32,0.40625,0.34375,0.18344,0.68750,0.00000,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,4,32,0.43750,0.34375,0.19312,0.71875,0.00000,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,5,32,0.43750,0.28125,0.19844,0.79167,0.00000,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,6,32,0.40625,0.34375,0.18625,0.60417,0.00000,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,7,32,0.40625,0.25000,0.19719,0.67708,0.00000,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,8,32,0.34375,0.21875,0.18750,0.62500,0.03125,0.00000
adversarial_language_vision_trap,grounding_debt_v5_full,9,32,0.37500,0.28125,0.20375,0.73958,0.00000,0.00000
adversarial_language_vision_trap,no_debt_estimator,0,32,0.34375,0.21875,0.19531,0.61458,0.00000,0.00000
adversarial_language_vision_trap,no_debt_estimator,1,32,0.40625,0.34375,0.19000,0.59375,0.06250,0.00000
adversarial_language_vision_trap,no_debt_estimator,2,32,0.31250,0.37500,0.18906,0.58333,0.00000,0.00000
adversarial_language_vision_trap,no_debt_estimator,3,32,0.37500,0.31250,0.17813,0.61458,0.00000,0.00000
adversarial_language_vision_trap,no_debt_estimator,4,32,0.37500,0.34375,0.18719,0.63542,0.00000,0.00000
adversarial_language_vision_trap,no_debt_estimator,5,32,0.37500,0.31250,0.19750,0.69792,0.00000,0.00000
adversarial_language_vision_trap,no_debt_estimator,6,32,0.31250,0.34375,0.18188,0.54167,0.00000,0.00000
adversarial_language_vision_trap,no_debt_estimator,7,32,0.37500,0.28125,0.19000,0.56250,0.00000,0.00000
adversarial_language_vision_trap,no_debt_estimator,8,32,0.31250,0.25000,0.18844,0.56250,0.03125,0.00000
adversarial_language_vision_trap,no_debt_estimator,9,32,0.43750,0.25000,0.19375,0.66667,0.03125,0.00000
adversarial_language_vision_trap,no_active_probe_selection,0,32,0.40625,0.18750,0.24000,0.60417,0.00000,0.00000
adversarial_language_vision_trap,no_active_probe_selection,1,32,0.43750,0.31250,0.24000,0.59375,0.00000,0.00000
adversarial_language_vision_trap,no_active_probe_selection,2,32,0.25000,0.40625,0.24000,0.60417,0.03125,0.00000
adversarial_language_vision_trap,no_active_probe_selection,3,32,0.34375,0.25000,0.24000,0.65625,0.00000,0.00000
adversarial_language_vision_trap,no_active_probe_selection,4,32,0.34375,0.37500,0.24000,0.64583,0.00000,0.00000
adversarial_language_vision_trap,no_active_probe_selection,5,32,0.34375,0.31250,0.24000,0.66667,0.03125,0.00000
adversarial_language_vision_trap,no_active_probe_selection,6,32,0.31250,0.31250,0.24000,0.61458,0.03125,0.00000
adversarial_language_vision_trap,no_active_probe_selection,7,32,0.43750,0.21875,0.24000,0.59375,0.00000,0.00000
adversarial_language_vision_trap,no_active_probe_selection,8,32,0.43750,0.21875,0.24000,0.60417,0.00000,0.00000
adversarial_language_vision_trap,no_active_probe_selection,9,32,0.34375,0.31250,0.24000,0.63542,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,0,32,0.25000,0.25000,0.19250,0.36458,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,1,32,0.25000,0.34375,0.18688,0.35417,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,2,32,0.18750,0.37500,0.20094,0.31250,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,3,32,0.15625,0.40625,0.18344,0.41667,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,4,32,0.25000,0.37500,0.19312,0.46875,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,5,32,0.28125,0.31250,0.19844,0.43750,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,6,32,0.15625,0.37500,0.18625,0.35417,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,7,32,0.21875,0.31250,0.19719,0.30208,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,8,32,0.18750,0.31250,0.18750,0.42708,0.00000,0.00000
adversarial_language_vision_trap,no_tactile_belief_update,9,32,0.15625,0.40625,0.20375,0.42708,0.00000,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,0,32,0.62500,0.18750,0.18906,0.67708,0.00000,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,1,32,0.43750,0.37500,0.18750,0.69792,0.06250,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,2,32,0.31250,0.37500,0.20031,0.65625,0.03125,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,3,32,0.37500,0.37500,0.18438,0.66667,0.00000,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,4,32,0.46875,0.34375,0.19187,0.71875,0.00000,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,5,32,0.43750,0.28125,0.20000,0.80208,0.00000,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,6,32,0.37500,0.34375,0.18750,0.60417,0.00000,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,7,32,0.46875,0.25000,0.19969,0.67708,0.00000,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,8,32,0.34375,0.25000,0.18844,0.59375,0.03125,0.00000
adversarial_language_vision_trap,no_language_vision_conflict_detector,9,32,0.40625,0.34375,0.20375,0.70833,0.00000,0.00000
adversarial_language_vision_trap,no_safety_gate,0,32,0.53125,0.25000,0.21156,0.67708,0.00000,0.00000
adversarial_language_vision_trap,no_safety_gate,1,32,0.40625,0.46875,0.21094,0.68750,0.06250,0.00000
adversarial_language_vision_trap,no_safety_gate,2,32,0.31250,0.40625,0.21094,0.67708,0.03125,0.00000
adversarial_language_vision_trap,no_safety_gate,3,32,0.37500,0.37500,0.20781,0.68750,0.00000,0.00000
adversarial_language_vision_trap,no_safety_gate,4,32,0.37500,0.37500,0.20906,0.73958,0.00000,0.00000
adversarial_language_vision_trap,no_safety_gate,5,32,0.40625,0.31250,0.20594,0.78125,0.00000,0.00000
adversarial_language_vision_trap,no_safety_gate,6,32,0.46875,0.34375,0.20656,0.63542,0.00000,0.00000
adversarial_language_vision_trap,no_safety_gate,7,32,0.43750,0.21875,0.21094,0.71875,0.00000,0.00000
adversarial_language_vision_trap,no_safety_gate,8,32,0.40625,0.21875,0.20969,0.64583,0.03125,0.00000
adversarial_language_vision_trap,no_safety_gate,9,32,0.34375,0.37500,0.20938,0.73958,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,0,32,0.31250,0.56250,0.42031,0.79167,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,1,32,0.21875,0.65625,0.41094,0.78125,0.03125,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,2,32,0.21875,0.59375,0.42969,0.80208,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,3,32,0.31250,0.56250,0.39438,0.79167,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,4,32,0.25000,0.62500,0.40844,0.80208,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,5,32,0.15625,0.71875,0.42719,0.84375,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,6,32,0.18750,0.68750,0.42219,0.76042,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,7,32,0.25000,0.62500,0.42500,0.79167,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,8,32,0.28125,0.50000,0.41437,0.73958,0.00000,0.00000
adversarial_language_vision_trap,no_probe_cost_regularizer,9,32,0.21875,0.68750,0.45594,0.83333,0.00000,0.00000
adversarial_language_vision_trap,no_calibration,0,32,0.59375,0.18750,0.19250,0.68750,0.31250,0.00000
adversarial_language_vision_trap,no_calibration,1,32,0.43750,0.37500,0.18688,0.67708,0.43750,0.00000
adversarial_language_vision_trap,no_calibration,2,32,0.31250,0.37500,0.20094,0.67708,0.56250,0.00000
adversarial_language_vision_trap,no_calibration,3,32,0.40625,0.34375,0.18344,0.68750,0.46875,0.00000
adversarial_language_vision_trap,no_calibration,4,32,0.43750,0.34375,0.19312,0.71875,0.53125,0.00000
adversarial_language_vision_trap,no_calibration,5,32,0.43750,0.28125,0.19844,0.79167,0.50000,0.00000
adversarial_language_vision_trap,no_calibration,6,32,0.40625,0.34375,0.18625,0.60417,0.40625,0.00000
adversarial_language_vision_trap,no_calibration,7,32,0.40625,0.25000,0.19719,0.67708,0.46875,0.00000
adversarial_language_vision_trap,no_calibration,8,32,0.34375,0.21875,0.18750,0.62500,0.53125,0.00000
adversarial_language_vision_trap,no_calibration,9,32,0.37500,0.28125,0.20375,0.73958,0.50000,0.00000
adversarial_language_vision_trap,no_counterfactual_material_filter,0,32,0.59375,0.18750,0.19156,0.67708,0.00000,0.00000
adversarial_language_vision_trap,no_counterfactual_material_filter,1,32,0.43750,0.37500,0.18719,0.68750,0.06250,0.00000
adversarial_language_vision_trap,no_counterfactual_material_filter,2,32,0.31250,0.37500,0.20094,0.67708,0.03125,0.00000
adversarial_language_vision_trap,no_counterfactual_material_filter,3,32,0.37500,0.37500,0.18469,0.68750,0.00000,0.00000
adversarial_language_vision_trap,no_counterfactual_material_filter,4,32,0.46875,0.34375,0.19375,0.70833,0.00000,0.00000
