split,seed,episode_id,method,task,object_family,action_success,damage,slip_or_drop,param_error,probe_count,probe_cost,fact_accuracy,debt_score,debt_calibration_error,confidence,false_safe_confidence,abstain,probes,failure_label,language_ambiguity,visual_counterfactual,tactile_noise,material_novelty,safety_critical,probe_budget_pressure,adversarial_trap,risk_budget,confidence_threshold,coverage,fixed_risk_success,fixed_risk_false_safe
combined_hard_shift,0,0,passive_tactile_classifier,pick,ceramic_tool,1,0,0,0.06924,2,0.24000,1.00000,0.18922,0.18922,0.81440,0,0,slippery;heavy,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,0,strong_tactile_then_policy,pick,ceramic_tool,0,1,0,0.08427,6,0.79000,1.00000,0.29184,0.29184,0.60417,0,0,fragile;slippery;heavy;full;soft;locked,damage_or_probe_damage,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,0,risk_aware_touch_policy,pick,ceramic_tool,1,0,0,0.14373,2,0.18000,1.00000,0.57518,0.57518,0.63483,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,0,calibrated_debt_threshold,pick,ceramic_tool,1,0,0,0.14373,2,0.18000,1.00000,0.57518,0.57518,0.62283,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,0,counterfactual_material_filter,pick,ceramic_tool,1,0,0,0.18207,1,0.08000,1.00000,0.40819,0.40819,0.72656,0,0,slippery,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,0,grounding_debt_planner_v5,pick,ceramic_tool,1,0,0,0.13654,2,0.18000,1.00000,0.58633,0.58633,0.61703,0,0,slippery;fragile,success,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,1,passive_tactile_classifier,pour,opaque_cup,0,1,0,0.32729,2,0.24000,0.66667,0.71682,0.38349,0.49977,0,0,slippery;heavy,damage_or_probe_damage,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,1,strong_tactile_then_policy,pour,opaque_cup,0,1,0,0.25194,6,0.79000,0.66667,0.79328,0.45995,0.30314,0,0,fragile;slippery;heavy;full;soft;locked,damage_or_probe_damage,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,1,risk_aware_touch_policy,pour,opaque_cup,0,1,0,0.36431,2,0.25000,0.66667,0.61421,0.28088,0.54890,0,0,slippery;full,damage_or_probe_damage,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
combined_hard_shift,0,1,calibrated_debt_threshold,pour,opaque_cup,0,0,0,0.85000,2,0.33000,0.66667,0.79924,0.46591,0.41323,0,1,heavy;full,abstained,0.48000,0.55000,0.24000,0.42000,0.62000,0.45000,0.15000,0.00,0.96,0,0,0
