split,method,metric,mean,ci95,seeds,episodes_per_seed
hard_aggregate,language_prior_policy,action_success,0.51849,0.01526,10,384
hard_aggregate,language_prior_policy,damage,0.27031,0.01236,10,384
hard_aggregate,language_prior_policy,slip_or_drop,0.16120,0.00747,10,384
hard_aggregate,language_prior_policy,param_error,0.24664,0.00253,10,384
hard_aggregate,language_prior_policy,probe_count,0.00000,0.00000,10,384
hard_aggregate,language_prior_policy,probe_cost,0.00000,0.00000,10,384
hard_aggregate,language_prior_policy,fact_accuracy,0.84488,0.00681,10,384
hard_aggregate,language_prior_policy,debt_calibration_error,0.42843,0.00712,10,384
hard_aggregate,language_prior_policy,false_safe_confidence,0.05156,0.00880,10,384
hard_aggregate,language_prior_policy,abstain_rate,0.00000,0.00000,10,384
hard_aggregate,language_prior_policy,tail_param_error,0.37592,0.00571,10,384
hard_aggregate,vision_language_policy,action_success,0.49844,0.01910,10,384
hard_aggregate,vision_language_policy,damage,0.27370,0.01631,10,384
hard_aggregate,vision_language_policy,slip_or_drop,0.16771,0.00862,10,384
hard_aggregate,vision_language_policy,param_error,0.25470,0.00342,10,384
hard_aggregate,vision_language_policy,probe_count,0.00000,0.00000,10,384
hard_aggregate,vision_language_policy,probe_cost,0.00000,0.00000,10,384
hard_aggregate,vision_language_policy,fact_accuracy,0.73594,0.00835,10,384
hard_aggregate,vision_language_policy,debt_calibration_error,0.38061,0.00364,10,384
hard_aggregate,vision_language_policy,false_safe_confidence,0.03828,0.00516,10,384
hard_aggregate,vision_language_policy,abstain_rate,0.00000,0.00000,10,384
hard_aggregate,vision_language_policy,tail_param_error,0.39718,0.00740,10,384
hard_aggregate,uncertainty_threshold_policy,action_success,0.39766,0.01554,10,384
hard_aggregate,uncertainty_threshold_policy,damage,0.12656,0.00960,10,384
hard_aggregate,uncertainty_threshold_policy,slip_or_drop,0.32214,0.01327,10,384
hard_aggregate,uncertainty_threshold_policy,param_error,0.29746,0.00225,10,384
hard_aggregate,uncertainty_threshold_policy,probe_count,0.00000,0.00000,10,384
hard_aggregate,uncertainty_threshold_policy,probe_cost,0.00000,0.00000,10,384
hard_aggregate,uncertainty_threshold_policy,fact_accuracy,0.73594,0.00835,10,384
hard_aggregate,uncertainty_threshold_policy,debt_calibration_error,0.38061,0.00364,10,384
hard_aggregate,uncertainty_threshold_policy,false_safe_confidence,0.05052,0.00534,10,384
hard_aggregate,uncertainty_threshold_policy,abstain_rate,0.00000,0.00000,10,384
hard_aggregate,uncertainty_threshold_policy,tail_param_error,0.47042,0.00521,10,384
hard_aggregate,passive_tactile_classifier,action_success,0.58386,0.01447,10,384
hard_aggregate,passive_tactile_classifier,damage,0.23281,0.01607,10,384
hard_aggregate,passive_tactile_classifier,slip_or_drop,0.13750,0.01094,10,384
hard_aggregate,passive_tactile_classifier,param_error,0.22645,0.00315,10,384
hard_aggregate,passive_tactile_classifier,probe_count,2.00000,0.00000,10,384
hard_aggregate,passive_tactile_classifier,probe_cost,0.24000,0.00000,10,384
hard_aggregate,passive_tactile_classifier,fact_accuracy,0.82908,0.00521,10,384
hard_aggregate,passive_tactile_classifier,debt_calibration_error,0.41029,0.00482,10,384
hard_aggregate,passive_tactile_classifier,false_safe_confidence,0.01484,0.00332,10,384
hard_aggregate,passive_tactile_classifier,abstain_rate,0.00000,0.00000,10,384
hard_aggregate,passive_tactile_classifier,tail_param_error,0.35295,0.00581,10,384
hard_aggregate,greedy_active_touch,action_success,0.51250,0.01494,10,384
hard_aggregate,greedy_active_touch,damage,0.33698,0.01379,10,384
hard_aggregate,greedy_active_touch,slip_or_drop,0.13489,0.00857,10,384
hard_aggregate,greedy_active_touch,param_error,0.21758,0.00254,10,384
hard_aggregate,greedy_active_touch,probe_count,2.00000,0.00000,10,384
hard_aggregate,greedy_active_touch,probe_cost,0.26248,0.00075,10,384
hard_aggregate,greedy_active_touch,fact_accuracy,0.82578,0.00374,10,384
hard_aggregate,greedy_active_touch,debt_calibration_error,0.36230,0.00389,10,384
hard_aggregate,greedy_active_touch,false_safe_confidence,0.02761,0.00534,10,384
hard_aggregate,greedy_active_touch,abstain_rate,0.00000,0.00000,10,384
hard_aggregate,greedy_active_touch,tail_param_error,0.35505,0.00640,10,384
hard_aggregate,strong_tactile_then_policy,action_success,0.46250,0.01033,10,384
hard_aggregate,strong_tactile_then_policy,damage,0.44167,0.00851,10,384
hard_aggregate,strong_tactile_then_policy,slip_or_drop,0.10026,0.00773,10,384
hard_aggregate,strong_tactile_then_policy,param_error,0.18799,0.00250,10,384
hard_aggregate,strong_tactile_then_policy,probe_count,6.00000,0.00000,10,384
hard_aggregate,strong_tactile_then_policy,probe_cost,0.79000,0.00000,10,384
hard_aggregate,strong_tactile_then_policy,fact_accuracy,0.91788,0.00377,10,384
hard_aggregate,strong_tactile_then_policy,debt_calibration_error,0.43147,0.00526,10,384
hard_aggregate,strong_tactile_then_policy,false_safe_confidence,0.00208,0.00148,10,384
