stress_axis,stress_level,method,action_success,ci95_success,damage,probe_cost,rows
language,0.0,vision_language_policy,0.79048,0.03096,0.10000,0.00000,210
language,0.0,greedy_active_touch,0.74762,0.04476,0.22381,0.26605,210
language,0.0,strong_tactile_then_policy,0.64286,0.06644,0.33810,0.79000,210
language,0.0,grounding_debt_planner,0.85238,0.05677,0.03333,0.22543,210
language,0.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
language,0.2,vision_language_policy,0.77619,0.05084,0.10952,0.00000,210
language,0.2,greedy_active_touch,0.73333,0.03492,0.22381,0.26910,210
language,0.2,strong_tactile_then_policy,0.70952,0.04444,0.28095,0.79000,210
language,0.2,grounding_debt_planner,0.85238,0.03996,0.02857,0.22957,210
language,0.2,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
language,0.4,vision_language_policy,0.72857,0.03322,0.16190,0.00000,210
language,0.4,greedy_active_touch,0.71905,0.06816,0.23810,0.26638,210
language,0.4,strong_tactile_then_policy,0.66190,0.07047,0.32381,0.79000,210
language,0.4,grounding_debt_planner,0.88095,0.05112,0.03810,0.22910,210
language,0.4,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
language,0.6,vision_language_policy,0.67143,0.09819,0.14762,0.00000,210
language,0.6,greedy_active_touch,0.66190,0.09287,0.25714,0.26400,210
language,0.6,strong_tactile_then_policy,0.59524,0.06901,0.37619,0.79000,210
language,0.6,grounding_debt_planner,0.79048,0.06000,0.04762,0.22662,210
language,0.6,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
language,0.8,vision_language_policy,0.70476,0.03322,0.19048,0.00000,210
language,0.8,greedy_active_touch,0.71905,0.06964,0.20476,0.26438,210
language,0.8,strong_tactile_then_policy,0.67619,0.03960,0.30000,0.79000,210
language,0.8,grounding_debt_planner,0.83810,0.06901,0.06190,0.23400,210
language,0.8,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
language,1.0,vision_language_policy,0.68095,0.06665,0.16667,0.00000,210
language,1.0,greedy_active_touch,0.70476,0.03322,0.22381,0.26195,210
language,1.0,strong_tactile_then_policy,0.64762,0.05854,0.33333,0.79000,210
language,1.0,grounding_debt_planner,0.82857,0.05779,0.04762,0.23252,210
language,1.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
vision,0.0,vision_language_policy,0.85714,0.04444,0.07619,0.00000,210
vision,0.0,greedy_active_touch,0.71429,0.08172,0.27619,0.27071,210
vision,0.0,strong_tactile_then_policy,0.71429,0.06511,0.28571,0.79000,210
vision,0.0,grounding_debt_planner,0.89524,0.04820,0.01429,0.21971,210
vision,0.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
vision,0.2,vision_language_policy,0.66190,0.06752,0.13810,0.00000,210
vision,0.2,greedy_active_touch,0.69524,0.05224,0.22857,0.26243,210
vision,0.2,strong_tactile_then_policy,0.66667,0.03772,0.28095,0.79000,210
vision,0.2,grounding_debt_planner,0.77619,0.05469,0.05714,0.22167,210
vision,0.2,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
vision,0.4,vision_language_policy,0.60476,0.07189,0.20000,0.00000,210
vision,0.4,greedy_active_touch,0.69524,0.05952,0.20476,0.26014,210
vision,0.4,strong_tactile_then_policy,0.59524,0.09503,0.37619,0.79000,210
vision,0.4,grounding_debt_planner,0.83810,0.06120,0.03810,0.23319,210
vision,0.4,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
vision,0.6,vision_language_policy,0.58095,0.05677,0.22857,0.00000,210
vision,0.6,greedy_active_touch,0.60476,0.05952,0.26667,0.26162,210
vision,0.6,strong_tactile_then_policy,0.59524,0.05952,0.35238,0.79000,210
vision,0.6,grounding_debt_planner,0.77143,0.06120,0.08095,0.23000,210
vision,0.6,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
vision,0.8,vision_language_policy,0.43810,0.03322,0.32381,0.00000,210
vision,0.8,greedy_active_touch,0.54286,0.05084,0.33810,0.26043,210
