stress_axis,stress_level,method,action_success,ci95_success,damage,probe_cost,rows
vision,0.8,strong_tactile_then_policy,0.50476,0.05415,0.44762,0.79000,210
vision,0.8,grounding_debt_planner,0.70476,0.04378,0.13810,0.23000,210
vision,0.8,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
vision,1.0,vision_language_policy,0.39524,0.07329,0.29524,0.00000,210
vision,1.0,greedy_active_touch,0.47619,0.08278,0.34762,0.26219,210
vision,1.0,strong_tactile_then_policy,0.55238,0.06191,0.38571,0.79000,210
vision,1.0,grounding_debt_planner,0.68095,0.05677,0.13810,0.23314,210
vision,1.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
tactile,0.0,vision_language_policy,0.67143,0.04820,0.17143,0.00000,210
tactile,0.0,greedy_active_touch,0.67143,0.04139,0.28095,0.27090,210
tactile,0.0,strong_tactile_then_policy,0.44286,0.06330,0.53333,0.79000,210
tactile,0.0,grounding_debt_planner,0.82381,0.03408,0.04762,0.22690,210
tactile,0.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
tactile,0.2,vision_language_policy,0.73333,0.07270,0.15238,0.00000,210
tactile,0.2,greedy_active_touch,0.62857,0.05415,0.30000,0.26805,210
tactile,0.2,strong_tactile_then_policy,0.41905,0.06191,0.53810,0.79000,210
tactile,0.2,grounding_debt_planner,0.80476,0.01704,0.06667,0.22848,210
tactile,0.2,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
tactile,0.4,vision_language_policy,0.72381,0.05280,0.15238,0.00000,210
tactile,0.4,greedy_active_touch,0.60476,0.05779,0.30000,0.26057,210
tactile,0.4,strong_tactile_then_policy,0.40476,0.04139,0.53333,0.79000,210
tactile,0.4,grounding_debt_planner,0.75714,0.06330,0.09048,0.22600,210
tactile,0.4,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
tactile,0.6,vision_language_policy,0.68571,0.07790,0.20000,0.00000,210
tactile,0.6,greedy_active_touch,0.53333,0.05703,0.36667,0.26152,210
tactile,0.6,strong_tactile_then_policy,0.25238,0.08172,0.61429,0.79000,210
tactile,0.6,grounding_debt_planner,0.70000,0.07809,0.15238,0.22690,210
tactile,0.6,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
tactile,0.8,vision_language_policy,0.70000,0.05703,0.17619,0.00000,210
tactile,0.8,greedy_active_touch,0.51429,0.08887,0.38095,0.26833,210
tactile,0.8,strong_tactile_then_policy,0.19048,0.04880,0.62381,0.79000,210
tactile,0.8,grounding_debt_planner,0.59524,0.07329,0.20476,0.23043,210
tactile,0.8,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
tactile,1.0,vision_language_policy,0.72857,0.06120,0.11429,0.00000,210
tactile,1.0,greedy_active_touch,0.50476,0.06901,0.35714,0.26257,210
tactile,1.0,strong_tactile_then_policy,0.20476,0.06600,0.59524,0.79000,210
tactile,1.0,grounding_debt_planner,0.59048,0.04209,0.12857,0.22481,210
tactile,1.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
material,0.0,vision_language_policy,0.70952,0.07505,0.17619,0.00000,210
material,0.0,greedy_active_touch,0.65714,0.04667,0.28571,0.26319,210
material,0.0,strong_tactile_then_policy,0.37619,0.04667,0.59048,0.79000,210
material,0.0,grounding_debt_planner,0.79524,0.04378,0.07619,0.22176,210
material,0.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
material,0.2,vision_language_policy,0.65238,0.08296,0.17619,0.00000,210
material,0.2,greedy_active_touch,0.60952,0.03960,0.30952,0.26686,210
material,0.2,strong_tactile_then_policy,0.40952,0.06795,0.50476,0.79000,210
material,0.2,grounding_debt_planner,0.77619,0.06943,0.07619,0.22881,210
material,0.2,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
material,0.4,vision_language_policy,0.71905,0.07790,0.16190,0.00000,210
material,0.4,greedy_active_touch,0.59524,0.06120,0.28095,0.26857,210
material,0.4,strong_tactile_then_policy,0.38095,0.06816,0.50952,0.79000,210
material,0.4,grounding_debt_planner,0.77143,0.08243,0.07619,0.22614,210
material,0.4,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
material,0.6,vision_language_policy,0.64286,0.11904,0.18571,0.00000,210
material,0.6,greedy_active_touch,0.54286,0.07088,0.31905,0.26895,210
material,0.6,strong_tactile_then_policy,0.30952,0.08278,0.58571,0.79000,210
material,0.6,grounding_debt_planner,0.70000,0.09457,0.12857,0.22919,210
material,0.6,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
material,0.8,vision_language_policy,0.66667,0.04277,0.15714,0.00000,210
material,0.8,greedy_active_touch,0.54286,0.04209,0.33810,0.26329,210
material,0.8,strong_tactile_then_policy,0.32381,0.08400,0.56667,0.79000,210
material,0.8,grounding_debt_planner,0.69524,0.05026,0.14286,0.22567,210
material,0.8,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
material,1.0,vision_language_policy,0.63810,0.04604,0.21429,0.00000,210
material,1.0,greedy_active_touch,0.52857,0.04139,0.32381,0.26338,210
material,1.0,strong_tactile_then_policy,0.28095,0.05307,0.57619,0.79000,210
material,1.0,grounding_debt_planner,0.67619,0.06168,0.14762,0.22776,210
material,1.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
combined,0.0,vision_language_policy,0.78095,0.06511,0.13333,0.00000,210
combined,0.0,greedy_active_touch,0.70476,0.05415,0.24762,0.26481,210
combined,0.0,strong_tactile_then_policy,0.41429,0.09333,0.57143,0.79000,210
combined,0.0,grounding_debt_planner,0.91429,0.04476,0.02857,0.22567,210
combined,0.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
combined,0.2,vision_language_policy,0.62857,0.05779,0.17143,0.00000,210
combined,0.2,greedy_active_touch,0.55238,0.06665,0.31429,0.26605,210
combined,0.2,strong_tactile_then_policy,0.41905,0.06353,0.50952,0.79000,210
combined,0.2,grounding_debt_planner,0.79048,0.05084,0.05714,0.22533,210
combined,0.2,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
combined,0.4,vision_language_policy,0.55714,0.09848,0.20476,0.00000,210
combined,0.4,greedy_active_touch,0.56190,0.07047,0.28571,0.26495,210
combined,0.4,strong_tactile_then_policy,0.37619,0.05652,0.53810,0.79000,210
combined,0.4,grounding_debt_planner,0.69524,0.08486,0.14286,0.22714,210
combined,0.4,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
combined,0.6,vision_language_policy,0.44762,0.07920,0.28571,0.00000,210
combined,0.6,greedy_active_touch,0.40952,0.07369,0.34762,0.26219,210
combined,0.6,strong_tactile_then_policy,0.31905,0.05307,0.51905,0.79000,210
combined,0.6,grounding_debt_planner,0.50952,0.08029,0.22381,0.22338,210
combined,0.6,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
combined,0.8,vision_language_policy,0.32857,0.05415,0.35714,0.00000,210
combined,0.8,greedy_active_touch,0.34762,0.08417,0.37619,0.25781,210
combined,0.8,strong_tactile_then_policy,0.19524,0.08952,0.65238,0.79000,210
combined,0.8,grounding_debt_planner,0.40952,0.07772,0.29048,0.22029,210
combined,0.8,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
combined,1.0,vision_language_policy,0.30000,0.06837,0.31429,0.00000,210
combined,1.0,greedy_active_touch,0.27143,0.02640,0.42857,0.25733,210
combined,1.0,strong_tactile_then_policy,0.16667,0.04032,0.54286,0.79000,210
combined,1.0,grounding_debt_planner,0.40000,0.04508,0.21905,0.21814,210
combined,1.0,oracle_tactile_upper_bound,1.00000,0.00000,0.00000,0.00000,210
